estilo	livro	capitulo	versiculo	texto
NBV	Mateo	1	1	Estos son los antepasados de Jesucristo , descendiente de David y de Abraham :
NBV	Mateo	1	2	Abraham fue el padre de Isaac , Isaac de Jacob y Jacob de Judá y sus hermanos .
NBV	Mateo	1	3	Judá tuvo con Tamar a Fares y a Zera ; Fares fue el padre de Jezrón y Jezrón de Aram .
NBV	Mateo	1	4	Aram fue el padre de Aminadab , Aminadab de Naasón y Naasón de Salmón .
NBV	Mateo	1	5	Salmón tuvo con Rajab a Booz ; Booz tuvo con Rut a Obed y Obed fue el padre de Isaí .
NBV	Mateo	1	6	Isaí fue el padre del rey David , y David tuvo a Salomón , cuya madre fue esposa de Urías .
NBV	Mateo	1	7	Salomón fue el padre de Roboán , Roboán de Abías y Abías de Asá .
NBV	Mateo	1	8	Asá fue el padre de Josafat , Josafat de Jorán y Jorán de Uzías .
NBV	Mateo	1	9	Uzías fue el padre de Jotán , Jotán de Acaz y Acaz de Ezequías .
NBV	Mateo	1	10	Ezequías fue el padre de Manasés , Manasés de Amón y Amón de Josías .
NBV	Mateo	1	11	Josías tuvo a Jeconías y a sus hermanos durante el cautiverio en Babilonia .
NBV	Mateo	1	12	Después del cautiverio , Jeconías tuvo a Salatiel . Salatiel fue el padre de Zorobabel .
NBV	Mateo	1	13	Zorobabel de Abiud , Abiud de Eliaquín y Eliaquín de Azor .
NBV	Mateo	1	14	Azor fue el padre de Sadoc , Sadoc de Aquín y Aquín de Eliud .
NBV	Mateo	1	15	Eliud fue el padre de Eleazar , Eleazar de Matán y Matán de Jacob .
NBV	Mateo	1	16	Jacob fue el padre de José , esposo de María , y María fue la madre de Jesús , el Mesías .
NBV	Mateo	1	17	Así que desde Abraham hasta David hubo catorce generaciones ; de David hasta el cautiverio , otras catorce ; y desde el cautiverio hasta Cristo , catorce más . Nacimiento de Jesucristo
NBV	Mateo	1	18	Así fue el nacimiento de Jesucristo . Su madre , María , estaba comprometida con José . Pero antes de la boda , el Espíritu Santo hizo que quedara encinta .
NBV	Mateo	1	19	José , su novio , como era un hombre recto , quiso romper el compromiso en secreto , para no manchar el buen nombre de la joven .
NBV	Mateo	1	20	Mientras pensaba en esto se quedó dormido y un ángel se le apareció en sueños y le dijo : « José , hijo de David , no temas casarte con María , porque el hijo que lleva en las entrañas lo concibió ella del Espíritu Santo .
NBV	Mateo	1	21	María tendrá un hijo y lo llamarán Jesús , porque él salvará a su pueblo de sus pecados » .
NBV	Mateo	1	22	De esta manera se cumplió lo que el Señor había anunciado a través del profeta que dijo :
NBV	Mateo	1	23	« ¡Miren ! La virgen concebirá y tendrá un hijo y lo llamarán Emanuel » ( que quiere decir « Dios está con nosotros » ) .
NBV	Mateo	1	24	Al despertar de aquel sueño , José obedeció las palabras del ángel y se casó con María ,
NBV	Mateo	1	25	aunque no tuvo relaciones sexuales con ella hasta que nació su hijo . Cuando el niño nació , José lo llamó Jesús . Nueva Biblia Viva , ©
NBV	Mateo	1	2006	,
NBV	Mateo	1	2008	por Biblica , Inc.® Usado con permiso de Biblica , Inc.® Reservados todos los derechos en todo el mundo .
NBV	Mateo	2	2	y preguntaron : ―¿Dónde está el recién nacido rey de los judíos ? Vimos su estrella en el lejano oriente y venimos a adorarlo .
NBV	Mateo	2	3	Al oír esto , el rey Herodes y la ciudad entera se turbaron .
NBV	Mateo	2	4	Inmediatamente Herodes convocó a todos los jefes de los sacerdotes y a los maestros religiosos del pueblo judío . ―¿Saben ustedes dónde nacerá el Mesías ? —les preguntó .
NBV	Mateo	2	5	―El Mesías nacerá en Belén de Judea —le respondieron— . Así lo dijo el profeta :
NBV	Mateo	2	6	« Y tú , Belén , que estás en Judá , no eres la menos importante de Judá , porque de ti saldrá un caudillo que guiará a mi pueblo Israel » . [ a ]
NBV	Mateo	2	7	Entonces Herodes mandó llamar secretamente a los sabios , y averiguó la fecha exacta en que habían visto por primera vez la estrella .
NBV	Mateo	2	8	―Vayan a Belén y busquen al niño —les dijo— . Cuando lo encuentren , avísenme , para que yo también pueda ir a adorarlo .
NBV	Mateo	2	9	Al terminar la audiencia con el rey , los sabios reanudaron el viaje . ¡Y la estrella que habían visto en el oriente los iba guiando hasta que se detuvo sobre la casa donde estaba el niño !
NBV	Mateo	2	10	Los sabios se llenaron de alegría cuando vieron la estrella .
NBV	Mateo	2	11	Entonces entraron en la casa , y al ver al niño con María , su madre , se postraron ante él para adorarlo . Luego abrieron sus alforjas y le ofrecieron como tributo oro , incienso y mirra .
NBV	Mateo	2	12	Después Dios les avisó en sueños que no regresaran a donde estaba Herodes , y por eso se fueron a su país por otro camino . La huida a Egipto
NBV	Mateo	2	13	Cuando los visitantes ya habían partido , un ángel del Señor se le apareció a José en sueños y le dijo : « Levántate y huye a Egipto con el niño y su madre , y quédate allá hasta que yo te avise , porque el rey Herodes va a buscar al niño para matarlo » .
NBV	Mateo	2	14	Aquella misma noche huyó José con María y el niño hacia Egipto ,
NBV	Mateo	2	15	donde habrían de permanecer hasta la muerte del rey Herodes . Así se cumplió lo que había predicho el Señor por medio del profeta : « De Egipto llamé a mi Hijo » . [ b ]
NBV	Mateo	2	16	Entonces Herodes se puso furioso por la burla de los sabios y mandó matar a todos los niños varones que vivieran en Belén y sus alrededores y que tuvieran dos años o menos . Lo ordenó así tomando en cuenta el tiempo que los sabios le habían indicado .
NBV	Mateo	2	17	Así se cumplió lo que había dicho el profeta Jeremías :
NBV	Mateo	2	18	« Gritos de agonía y llanto incontenible se escuchan en Ramá ; es Raquel que llora desconsolada la muerte de sus hijos » . [ c ] El regreso a Nazaret
NBV	Mateo	2	19	Cuando Herodes murió , un ángel del Señor se le apareció en sueños a José en Egipto ,
NBV	Mateo	2	20	y le dijo : « Levántate y regresa con el niño y su madre a Israel ; porque los que querían matarlo ya murieron » .
NBV	Mateo	2	21	Así fue como José regresó a la tierra de Israel con el niño y su madre . Pero en el camino se enteró de que Arquelao , hijo de Herodes , reinaba en Judea , y tuvo miedo de ir allí .
NBV	Mateo	2	22	Luego Dios le indicó en sueños que fuera a Galilea ;
NBV	Mateo	2	23	y se fueron a vivir a un lugar llamado Nazaret . Así se cumplieron las predicciones de los profetas que afirmaban que Jesús sería llamado nazareno . Nueva Biblia Viva , ©
NBV	Mateo	2	2006	,
NBV	Mateo	2	2008	por Biblica , Inc.® Usado con permiso de Biblica , Inc.® Reservados todos los derechos en todo el mundo .
NBV	Mateo	3	3	Siglos atrás , el profeta Isaías había hablado de Juan y lo describió así : [ a ] « Una voz clama en el desierto : “ Prepárenle el camino al Señor ; que nada le estorbe a su paso ” » .
NBV	Mateo	3	2	Este era su mensaje : « Arrepiéntanse de sus pecados porque el reino de los cielos se ha acercado » .
NBV	Mateo	3	4	Juan usaba ropa hecha de pelo de camello y se la sujetaba con un cinto de cuero . Su alimentación consistía en langostas del desierto y miel silvestre .
NBV	Mateo	3	5	Toda la gente de Jerusalén , de todo el valle del Jordán y de toda Judea , iba al desierto a escucharlo .
NBV	Mateo	3	6	A los que reconocían que eran pecadores , él los bautizaba en el río Jordán .
NBV	Mateo	3	7	Y cuando vio que entre los que iban a bautizarse había muchos fariseos y saduceos , les dijo : « Crías de víboras , ¿quién les dijo que así podrán escapar de la ira de Dios que vendrá sobre ustedes ?
NBV	Mateo	3	8	Demuestren , antes de bautizarse , que están arrepentidos .
NBV	Mateo	3	9	No crean que les basta con decir que son descendientes de Abraham , porque Dios puede sacar hijos de Abraham aun de estas piedras .
NBV	Mateo	3	10	El hacha está lista para talar los árboles que no den fruto y arrojarlos al fuego .
