estilo	livro	capitulo	versiculo	texto
NBV	Génesis	1	1	En el principio creó Dios los cielos y la tierra .
NBV	Génesis	1	2	La tierra estaba desordenada y no tenía forma . La oscuridad cubría el profundo abismo , mientras que el Espíritu de Dios se movía sobre las aguas .
NBV	Génesis	1	3	Entonces Dios dijo : « ¡Que aparezca la luz ! » . Y apareció la luz .
NBV	Génesis	1	4	Dios vio que la luz era hermosa , y la separó de la oscuridad .
NBV	Génesis	1	5	A la luz Dios la llamó « día » , y a la oscuridad la llamó « noche » . Pasó la tarde y pasó la mañana , y se completó , así , el primer día .
NBV	Génesis	1	6	Después Dios dijo : « Que aparezca el firmamento en medio de las aguas , para que las separe » .
NBV	Génesis	1	7	Así que Dios hizo el firmamento , para separar las aguas . De modo que una parte de las aguas quedó arriba del firmamento y otra , debajo de él .
NBV	Génesis	1	8	Al firmamento Dios lo llamó « cielo » . Pasó la tarde y pasó la mañana , y se completó , así , el segundo día .
NBV	Génesis	1	9	Después Dios dijo : « Que las aguas que están debajo del cielo se junten en un solo lugar , de modo que la otra parte quede seca » . Y así ocurrió .
NBV	Génesis	1	10	A la parte seca Dios le dio el nombre de « tierra » , y a las aguas las llamó « mares » . Dios vio que todo esto era hermoso . 11-12 Así que dijo : « Que de la tierra brote toda clase de vegetación , es decir , plantas que se reproduzcan por medio de semillas , y árboles frutales en cuyos frutos estén sus semillas » . Y , tal como Dios lo dijo , de la tierra brotaron las plantas y árboles frutales con sus respectivas semillas para su reproducción . Y Dios vio que todo esto era hermoso .
NBV	Génesis	1	13	Pasó la tarde y pasó la mañana , y se completó , así , el tercer día . 14-15 Después Dios dijo : « Que haya luces en el cielo , para que alumbren la tierra y separen el día de la noche , y para que marquen también las estaciones , los días y los años » . Y así ocurrió .
NBV	Génesis	1	16	Entonces Dios hizo dos grandes luces : la más grande para que alumbre durante el día , y la más pequeña , para que brille en la noche . También Dios hizo las estrellas . 17-18 Dios puso estas luces en el cielo para que alumbraran la tierra de día y de noche , y para que separaran la luz de la oscuridad . Y Dios vio que esto era hermoso .
NBV	Génesis	1	19	Pasó la tarde y pasó la mañana , y se completó , así , el cuarto día .
NBV	Génesis	1	20	Después Dios dijo : « Que las aguas se llenen de peces y de otros animales acuáticos , y que también haya aves que vuelen sobre la tierra , en el inmenso firmamento » .
