estilo	livro	capitulo	versiculo	texto
NTV	Mateo	1	1	Cr 3:16 . - 1:19 En griego divorciarse de ella . - 1:21 Jesús significa « El Señor salva » . - 1:23 Is 7:14 ; 8:8 ,
NTV	Mateo	1	2	Re 24:6 y la nota en
NTV	Mateo	1	3	Judá fue el padre de Fares y de Zera ( la madre fue Tamar ) . Fares fue el padre de Hezrón . Hezrón fue el padre de Ram . [ b ]
NTV	Mateo	1	4	Ram fue el padre de Aminadab . Aminadab fue el padre de Naasón . Naasón fue el padre de Salmón .
NTV	Mateo	1	5	Salmón fue el padre de Booz ( su madre fue Rahab ) . Booz fue el padre de Obed ( su madre fue Rut ) . Obed fue el padre de Isaí .
NTV	Mateo	1	6	Isaí fue el padre del rey David . David fue el padre de Salomón ( su madre fue Betsabé , la viuda de Urías ) .
NTV	Mateo	1	7	Salomón fue el padre de Roboam . Roboam fue el padre de Abías . Abías fue el padre de Asa . [ c ]
NTV	Mateo	1	8	Asa fue el padre de Josafat . Josafat fue el padre de Yoram . [ d ] Yoram fue el padre [ e ] de Uzías .
NTV	Mateo	1	9	Uzías fue el padre de Jotam . Jotam fue el padre de Acaz . Acaz fue el padre de Ezequías .
NTV	Mateo	1	10	( versión griega ) . La Santa Biblia , Nueva Traducción Viviente , © Tyndale House Foundation ,
NTV	Mateo	1	11	Josías fue el padre de Joaquín [ g ] y de sus hermanos ( quienes nacieron en el tiempo del destierro a Babilonia ) .
NTV	Mateo	1	12	Luego del destierro a Babilonia : Joaquín fue el padre de Salatiel . Salatiel fue el padre de Zorobabel .
NTV	Mateo	1	13	Zorobabel fue el padre de Abiud . Abiud fue el padre de Eliaquim . Eliaquim fue el padre de Azor .
NTV	Mateo	1	14	Azor fue el padre de Sadoc . Sadoc fue el padre de Aquim . Aquim fue el padre de Eliud .
NTV	Mateo	1	15	Eliud fue el padre de Eleazar . Eleazar fue el padre de Matán . Matán fue el padre de Jacob .
NTV	Mateo	1	16	Jacob fue el padre de José , esposo de María . María dio a luz a Jesús , quien es llamado el Mesías .
NTV	Mateo	1	17	Todos los que aparecen en la lista abarcan catorce generaciones desde Abraham hasta David , catorce desde David hasta el destierro a Babilonia , y catorce desde el destierro a Babilonia hasta el Mesías . Nacimiento de Jesús el Mesías
NTV	Mateo	1	18	Este es el relato de cómo nació Jesús el Mesías . Su madre , María , estaba comprometida para casarse con José , pero antes de que la boda se realizara , mientras todavía era virgen , quedó embarazada mediante el poder del Espíritu Santo .
