estilo	livro	capitulo	versiculo	texto
NTV	Génesis	1	1	En el principio , Dios creó los cielos y la tierra . [ a ]
NTV	Génesis	1	2	La tierra no tenía forma y estaba vacía , y la oscuridad cubría las aguas profundas ; y el Espíritu de Dios se movía en el aire sobre la superficie de las aguas .
NTV	Génesis	1	3	Entonces Dios dijo : « Que haya luz » ; y hubo luz .
NTV	Génesis	1	4	Y Dios vio que la luz era buena . Luego separó la luz de la oscuridad .
NTV	Génesis	1	5	Dios llamó a la luz « día » y a la oscuridad « noche » . Y pasó la tarde y llegó la mañana , así se cumplió el primer día .
NTV	Génesis	1	6	Entonces Dios dijo : « Que haya un espacio entre las aguas , para separar las aguas de los cielos de las aguas de la tierra » ;
NTV	Génesis	1	7	y eso fue lo que sucedió . Dios formó ese espacio para separar las aguas de la tierra de las aguas de los cielos
NTV	Génesis	1	8	y Dios llamó al espacio « cielo » . Y pasó la tarde y llegó la mañana , así se cumplió el segundo día .
NTV	Génesis	1	9	Entonces Dios dijo : « Que las aguas debajo del cielo se junten en un solo lugar , para que aparezca la tierra seca » ; y eso fue lo que sucedió .
NTV	Génesis	1	10	Dios llamó a lo seco « tierra » y a las aguas « mares » . Y Dios vio que esto era bueno .
NTV	Génesis	1	11	Después Dios dijo : « Que de la tierra brote vegetación : toda clase de plantas con semillas y árboles que den frutos con semillas . Estas semillas producirán , a su vez , las mismas clases de plantas y árboles de los que provinieron » ; y eso fue lo que sucedió .
NTV	Génesis	1	12	La tierra produjo vegetación : toda clase de plantas con semillas y árboles que dan frutos con semillas . Las semillas produjeron plantas y árboles de la misma clase . Y Dios vio que esto era bueno .
NTV	Génesis	1	13	Y pasó la tarde y llegó la mañana , así se cumplió el tercer día .
NTV	Génesis	1	14	Entonces Dios dijo : « Que aparezcan luces en el cielo para separar el día de la noche ; que sean señales para que marquen las estaciones , los días y los años .
NTV	Génesis	1	15	Que esas luces en el cielo brillen sobre la tierra » ; y eso fue lo que sucedió .
NTV	Génesis	1	16	Dios hizo dos grandes luces : la más grande para que gobernara el día , y la más pequeña para que gobernara la noche . También hizo las estrellas .
NTV	Génesis	1	17	Dios puso esas luces en el cielo para iluminar la tierra ,
NTV	Génesis	1	18	para que gobernaran el día y la noche , y para separar la luz de la oscuridad . Y Dios vio que esto era bueno .
NTV	Génesis	1	19	Y pasó la tarde y llegó la mañana , así se cumplió el cuarto día .
NTV	Génesis	1	20	Entonces Dios dijo : « Que las aguas se colmen de peces y de otras formas de vida . Que los cielos se llenen de aves de toda clase » .
NTV	Génesis	1	21	Así que Dios creó grandes criaturas marinas y todos los seres vivientes que se mueven y se agitan en el agua y aves de todo tipo , cada uno produciendo crías de la misma especie . Y Dios vio que esto era bueno .
NTV	Génesis	1	22	Entonces Dios los bendijo con las siguientes palabras : « Sean fructíferos y multiplíquense . Que los peces llenen los mares y las aves se multipliquen sobre la tierra » .
NTV	Génesis	1	23	Y pasó la tarde y llegó la mañana , así se cumplió el quinto día .
NTV	Génesis	1	24	Entonces Dios dijo : « Que la tierra produzca toda clase de animales , que cada uno produzca crías de la misma especie : animales domésticos , animales pequeños que corran por el suelo y animales salvajes » ; y eso fue lo que sucedió .
NTV	Génesis	1	25	Dios hizo toda clase de animales salvajes , animales domésticos y animales pequeños ; cada uno con la capacidad de producir crías de la misma especie . Y Dios vio que esto era bueno .
NTV	Génesis	1	26	Entonces Dios dijo : « Hagamos a los seres humanos [ b ] a nuestra imagen , para que sean como nosotros . Ellos reinarán sobre los peces del mar , las aves del cielo , los animales domésticos , todos los animales salvajes de la tierra [ c ] y los animales pequeños que corren por el suelo » .
NTV	Génesis	1	27	Así que Dios creó a los seres humanos [ d ] a su propia imagen . A imagen de Dios los creó ; hombre y mujer los creó .
NTV	Génesis	1	28	Luego Dios los bendijo con las siguientes palabras : « Sean fructíferos y multiplíquense . Llenen la tierra y gobiernen sobre ella . Reinen sobre los peces del mar , las aves del cielo y todos los animales que corren por el suelo » .
NTV	Génesis	1	29	Entonces Dios dijo : « ¡Miren ! Les he dado todas las plantas con semilla que hay sobre la tierra y todos los árboles frutales para que les sirvan de alimento .
NTV	Génesis	1	30	Y he dado toda planta verde como alimento para todos los animales salvajes , para las aves del cielo y para los animales pequeños que corren por el suelo , es decir , para todo lo que tiene vida » ; y eso fue lo que sucedió .
NTV	Génesis	1	31	Entonces Dios miró todo lo que había hecho , ¡y vio que era muy bueno ! Y pasó la tarde y llegó la mañana , así se cumplió el sexto día . La Santa Biblia , Nueva Traducción Viviente , © Tyndale House Foundation ,
NTV	Génesis	1	2010	. Todos los derechos reservados .
NTV	Génesis	2	2	Cuando llegó el séptimo día , Dios ya había terminado su obra de creación , y descansó [ a ] de toda su labor .
NTV	Génesis	2	3	Dios bendijo el séptimo día y lo declaró santo , porque ese fue el día en que descansó de toda su obra de creación .
NTV	Génesis	2	4	Este es el relato de la creación de los cielos y la tierra . El hombre y la mujer en el Edén Cuando el Señor Dios hizo la tierra y los cielos ,
NTV	Génesis	2	5	no crecían en ella plantas salvajes ni grano porque el Señor Dios aún no había enviado lluvia para regar la tierra , ni había personas que la cultivaran .
NTV	Génesis	2	6	En cambio , del suelo brotaban manantiales que regaban [ b ] toda la tierra .
NTV	Génesis	2	7	Luego el Señor Dios formó al hombre del polvo de la tierra . Sopló aliento de vida en la nariz del hombre , y el hombre se convirtió en un ser viviente .
NTV	Génesis	2	8	Después , el Señor Dios plantó un huerto en Edén , en el oriente , y allí puso al hombre que había formado .
NTV	Génesis	2	9	El Señor Dios hizo que crecieran del suelo toda clase de árboles : árboles hermosos y que daban frutos deliciosos . En medio del huerto puso el árbol de la vida y el árbol del conocimiento del bien y del mal .
NTV	Génesis	2	10	Un río salía de la tierra del Edén que regaba el huerto y después se dividía en cuatro ramales .
NTV	Génesis	2	11	El primero , llamado Pisón , rodeaba toda la tierra de Havila , donde hay oro .
NTV	Génesis	2	12	El oro de esa tierra es excepcionalmente puro ; también se encuentran allí resinas aromáticas y piedras de ónice .
NTV	Génesis	2	13	El segundo , llamado Gihón , rodeaba toda la tierra de Cus .
NTV	Génesis	2	14	El tercero , llamado Tigris , corría al oriente de la tierra de Asiria . El cuarto se llama Éufrates .
