estilo	livro	capitulo	versiculo	texto
NVI	Mateo	1	1	Tabla genealógica de Jesucristo , hijo de David , hijo de Abraham :
NVI	Mateo	1	2	Abraham fue el padre de [ a ] Isaac ; Isaac , padre de Jacob ; Jacob , padre de Judá y de sus hermanos ;
NVI	Mateo	1	3	Judá , padre de Fares y de Zera , cuya madre fue Tamar ; Fares , padre de Jezrón ; Jezrón , padre de Aram ;
NVI	Mateo	1	4	Aram , padre de Aminadab ; Aminadab , padre de Naasón ; Naasón , padre de Salmón ;
NVI	Mateo	1	5	Salmón , padre de Booz , cuya madre fue Rajab ; Booz , padre de Obed , cuya madre fue Rut ; Obed , padre de Isaí ;
NVI	Mateo	1	6	e Isaí , padre del rey David . David fue el padre de Salomón , cuya madre había sido la esposa de Urías ;
NVI	Mateo	1	7	Salomón , padre de Roboán ; Roboán , padre de Abías ; Abías , padre de Asá ;
NVI	Mateo	1	8	Asá , padre de Josafat ; Josafat , padre de Jorán ; Jorán , padre de Uzías ;
NVI	Mateo	1	9	Uzías , padre de Jotán ; Jotán , padre de Acaz ; Acaz , padre de Ezequías ;
NVI	Mateo	1	10	Ezequías , padre de Manasés ; Manasés , padre de Amón ; Amón , padre de Josías ;
NVI	Mateo	1	11	y Josías , padre de Jeconías [ b ] y de sus hermanos en tiempos de la deportación a Babilonia .
NVI	Mateo	1	12	Después de la deportación a Babilonia , Jeconías fue el padre de Salatiel ; Salatiel , padre de Zorobabel ;
NVI	Mateo	1	13	Zorobabel , padre de Abiud ; Abiud , padre de Eliaquín ; Eliaquín , padre de Azor ;
NVI	Mateo	1	14	Azor , padre de Sadoc ; Sadoc , padre de Aquín ; Aquín , padre de Eliud ;
NVI	Mateo	1	15	Eliud , padre de Eleazar ; Eleazar , padre de Matán ; Matán , padre de Jacob ;
NVI	Mateo	1	16	y Jacob , padre de José , que fue el esposo de María , de la cual nació Jesús , llamado el Cristo .
NVI	Mateo	1	17	Así que hubo en total catorce generaciones desde Abraham hasta David , catorce desde David hasta la deportación a Babilonia , y catorce desde la deportación hasta el Cristo . Nacimiento de Jesucristo
NVI	Mateo	1	18	El nacimiento de Jesús , el Cristo , fue así : Su madre , María , estaba comprometida para casarse con José , pero , antes de unirse a él , resultó que estaba encinta por obra del Espíritu Santo .
NVI	Mateo	1	19	Como José , su esposo , era un hombre justo y no quería exponerla a vergüenza pública , resolvió divorciarse de ella en secreto .
NVI	Mateo	1	20	Pero , cuando él estaba considerando hacerlo , se le apareció en sueños un ángel del Señor y le dijo : « José , hijo de David , no temas recibir a María por esposa , porque ella ha concebido por obra del Espíritu Santo .
NVI	Mateo	1	21	Dará a luz un hijo , y le pondrás por nombre Jesús , [ c ] porque él salvará a su pueblo de sus pecados » .
NVI	Mateo	1	22	Todo esto sucedió para que se cumpliera lo que el Señor había dicho por medio del profeta :
NVI	Mateo	1	23	« La virgen concebirá y dará a luz un hijo , y lo llamarán Emanuel » [ d ] ( que significa « Dios con nosotros » ) .
NVI	Mateo	1	24	Cuando José se despertó , hizo lo que el ángel del Señor le había mandado y recibió a María por esposa .
NVI	Mateo	1	25	Pero no tuvo relaciones conyugales con ella hasta que dio a luz un hijo , [ e ] a quien le puso por nombre Jesús . Santa Biblia , NUEVA VERSIÓN INTERNACIONAL® NVI® ©
NVI	Mateo	1	1999	,
NVI	Mateo	1	2015	por Biblica , Inc.® , Inc.® Usado con permiso de Biblica , Inc.® Reservados todos los derechos en todo el mundo . Used by permission . All rights reserved worldwide .
NVI	Mateo	2	2	—¿Dónde está el que ha nacido rey de los judíos ? —preguntaron— . Vimos levantarse [ b ] su estrella y hemos venido a adorarlo .
NVI	Mateo	2	3	Cuando lo oyó el rey Herodes , se turbó , y toda Jerusalén con él .
NVI	Mateo	2	4	Así que convocó de entre el pueblo a todos los jefes de los sacerdotes y maestros de la ley , y les preguntó dónde había de nacer el Cristo .
NVI	Mateo	2	5	—En Belén de Judea —le respondieron— , porque esto es lo que ha escrito el profeta :
