estilo	livro	capitulo	versiculo	texto
NVI	Génesis	1	1	Dios , en el principio , creó los cielos y la tierra .
NVI	Génesis	1	2	La tierra era un caos total , las tinieblas cubrían el abismo , y el Espíritu [ a ] de Dios se movía sobre la superficie de las aguas .
NVI	Génesis	1	3	Y dijo Dios : « ¡Que exista la luz ! » Y la luz llegó a existir .
NVI	Génesis	1	4	Dios consideró que la luz era buena y la separó de las tinieblas .
NVI	Génesis	1	5	A la luz la llamó « día » , y a las tinieblas , « noche » . Y vino la noche , y llegó la mañana : ese fue el primer día .
NVI	Génesis	1	6	Y dijo Dios : « ¡Que exista el firmamento en medio de las aguas , y que las separe ! »
NVI	Génesis	1	7	Y así sucedió : Dios hizo el firmamento y separó las aguas que están abajo , de las aguas que están arriba .
NVI	Génesis	1	8	Al firmamento Dios lo llamó « cielo » . Y vino la noche , y llegó la mañana : ese fue el segundo día .
NVI	Génesis	1	9	Y dijo Dios : « ¡Que las aguas debajo del cielo se reúnan en un solo lugar , y que aparezca lo seco ! » Y así sucedió .
NVI	Génesis	1	10	A lo seco Dios lo llamó « tierra » , y al conjunto de aguas lo llamó « mar » . Y Dios consideró que esto era bueno .
NVI	Génesis	1	11	Y dijo Dios : « ¡Que haya vegetación sobre la tierra ; que esta produzca hierbas que den semilla , y árboles que den su fruto con semilla , todos según su especie ! » Y así sucedió .
NVI	Génesis	1	12	Comenzó a brotar la vegetación : hierbas que dan semilla , y árboles que dan su fruto con semilla , todos según su especie . Y Dios consideró que esto era bueno .
NVI	Génesis	1	13	Y vino la noche , y llegó la mañana : ese fue el tercer día .
NVI	Génesis	1	14	Y dijo Dios : « ¡Que haya luces en el firmamento que separen el día de la noche ; que sirvan como señales de las estaciones , de los días y de los años ,
NVI	Génesis	1	15	y que brillen en el firmamento para iluminar la tierra ! » Y sucedió así .
NVI	Génesis	1	16	Dios hizo los dos grandes astros : el astro mayor para gobernar el día , y el menor para gobernar la noche . También hizo las estrellas .
NVI	Génesis	1	17	Dios colocó en el firmamento los astros para alumbrar la tierra .
NVI	Génesis	1	18	Los hizo para gobernar el día y la noche , y para separar la luz de las tinieblas . Y Dios consideró que esto era bueno .
NVI	Génesis	1	19	Y vino la noche , y llegó la mañana : ese fue el cuarto día .
NVI	Génesis	1	20	Y dijo Dios : « ¡Que rebosen de seres vivientes las aguas , y que vuelen las aves sobre la tierra a lo largo del firmamento ! »
NVI	Génesis	1	21	Y creó Dios los grandes animales marinos , y todos los seres vivientes que se mueven y pululan en las aguas y todas las aves , según su especie . Y Dios consideró que esto era bueno ,
NVI	Génesis	1	22	y los bendijo con estas palabras : « Sean fructíferos y multiplíquense ; llenen las aguas de los mares . ¡Que las aves se multipliquen sobre la tierra ! »
NVI	Génesis	1	23	Y vino la noche , y llegó la mañana : ese fue el quinto día .
NVI	Génesis	1	24	Y dijo Dios : « ¡Que produzca la tierra seres vivientes : animales domésticos , animales salvajes , y reptiles , según su especie ! » Y sucedió así .
NVI	Génesis	1	25	Dios hizo los animales domésticos , los animales salvajes , y todos los reptiles , según su especie . Y Dios consideró que esto era bueno ,
NVI	Génesis	1	26	y dijo : « Hagamos al ser humano a nuestra imagen y semejanza . Que tenga dominio sobre los peces del mar , y sobre las aves del cielo ; sobre los animales domésticos , sobre los animales salvajes , [ b ] y sobre todos los reptiles que se arrastran por el suelo » .
NVI	Génesis	1	27	Y Dios creó al ser humano a su imagen ; lo creó a imagen de Dios . Hombre y mujer los creó ,
NVI	Génesis	1	28	y los bendijo con estas palabras : « Sean fructíferos y multiplíquense ; llenen la tierra y sométanla ; dominen a los peces del mar y a las aves del cielo , y a todos los reptiles que se arrastran por el suelo » .
NVI	Génesis	1	29	También les dijo : « Yo les doy de la tierra todas las plantas que producen semilla y todos los árboles que dan fruto con semilla ; todo esto les servirá de alimento .
NVI	Génesis	1	30	Y doy la hierba verde como alimento a todas las fieras de la tierra , a todas las aves del cielo y a todos los seres vivientes que se arrastran por la tierra » . Y así sucedió .
NVI	Génesis	1	31	Dios miró todo lo que había hecho , y consideró que era muy bueno . Y vino la noche , y llegó la mañana : ese fue el sexto día . Santa Biblia , NUEVA VERSIÓN INTERNACIONAL® NVI® ©
NVI	Génesis	1	1999	,
NVI	Génesis	1	2015	por Biblica , Inc.® , Inc.® Usado con permiso de Biblica , Inc.® Reservados todos los derechos en todo el mundo . Used by permission . All rights reserved worldwide .
NVI	Génesis	2	2	Al llegar el séptimo día , Dios descansó porque había terminado la obra que había emprendido .
NVI	Génesis	2	3	Dios bendijo el séptimo día , y lo santificó , porque en ese día descansó de toda su obra creadora .
NVI	Génesis	2	4	Esta es la historia [ a ] de la creación de los cielos y la tierra . Adán y Eva Cuando Dios el Señor hizo la tierra y los cielos ,
NVI	Génesis	2	5	aún no había ningún arbusto del campo sobre la tierra , ni había brotado la hierba , porque Dios el Señor todavía no había hecho llover sobre la tierra ni existía el hombre para que la cultivara .
NVI	Génesis	2	6	No obstante , salía de la tierra un manantial que regaba toda la superficie del suelo .
NVI	Génesis	2	7	Y Dios el Señor formó al hombre [ b ] del polvo de la tierra , y sopló en su nariz hálito de vida , y el hombre se convirtió en un ser viviente .
NVI	Génesis	2	8	Dios el Señor plantó un jardín al oriente del Edén , y allí puso al hombre que había formado .
NVI	Génesis	2	9	Dios el Señor hizo que creciera toda clase de árboles hermosos , los cuales daban frutos buenos y apetecibles . En medio del jardín hizo crecer el árbol de la vida y también el árbol del conocimiento del bien y del mal .
NVI	Génesis	2	10	Del Edén nacía un río que regaba el jardín , y que desde allí se dividía en cuatro ríos menores .
NVI	Génesis	2	11	El primero se llamaba Pisón , y recorría toda la región de Javilá , donde había oro .
NVI	Génesis	2	12	El oro de esa región era fino , y también había allí resina muy buena y piedra de ónice .
NVI	Génesis	2	13	El segundo se llamaba Guijón , que recorría toda la región de Cus . [ c ]
NVI	Génesis	2	14	El tercero se llamaba Tigris , que corría al este de Asiria . El cuarto era el Éufrates .
NVI	Génesis	2	15	Dios el Señor tomó al hombre y lo puso en el jardín del Edén para que lo cultivara y lo cuidara ,
NVI	Génesis	2	16	y le dio este mandato : « Puedes comer de todos los árboles del jardín ,
NVI	Génesis	2	17	pero del árbol del conocimiento del bien y del mal no deberás comer . El día que de él comas , ciertamente morirás » .
NVI	Génesis	2	18	Luego Dios el Señor dijo : « No es bueno que el hombre esté solo . Voy a hacerle una ayuda adecuada » .
NVI	Génesis	2	19	Entonces Dios el Señor formó de la tierra toda ave del cielo y todo animal del campo , y se los llevó al hombre para ver qué nombre les pondría . El hombre les puso nombre a todos los seres vivos , y con ese nombre se les conoce .
NVI	Génesis	2	20	Así el hombre fue poniéndoles nombre a todos los animales domésticos , a todas las aves del cielo y a todos los animales del campo . Sin embargo , no se encontró entre ellos la ayuda adecuada para el hombre .
NVI	Génesis	2	21	Entonces Dios el Señor hizo que el hombre cayera en un sueño profundo y , mientras este dormía , le sacó una costilla y le cerró la herida .
NVI	Génesis	2	22	De la costilla que le había quitado al hombre , Dios el Señor hizo una mujer y se la presentó al hombre ,
NVI	Génesis	2	23	el cual exclamó : « Esta sí es hueso de mis huesos y carne de mi carne . Se llamará “ mujer ” [ d ] porque del hombre fue sacada » .
NVI	Génesis	2	24	Por eso el hombre deja a su padre y a su madre , y se une a su mujer , y los dos se funden en un solo ser . [ e ]
