estilo	livro	capitulo	versiculo	texto
PDT	Génesis	1	1	En el principio , cuando Dios creó los cielos y la tierra ,
PDT	Génesis	1	2	reinaba el caos y no había nada en ella . El abismo estaba sumido en la oscuridad , y el Espíritu de Dios aleteaba sobre las aguas .
PDT	Génesis	1	3	Dios dijo : « Que haya luz » , y hubo luz .
PDT	Génesis	1	4	Al ver Dios que la luz era buena , la separó de la oscuridad .
PDT	Génesis	1	5	Dios llamó a la luz « día » y a la oscuridad « noche » . Llegó la tarde y después la mañana . Ese fue el primer día .
PDT	Génesis	1	6	Entonces Dios dijo : « ¡Que haya un firmamento [ a ] que separe las aguas en dos partes ! »
PDT	Génesis	1	7	Así que Dios creó el firmamento y separó las aguas ; unas quedaron arriba del firmamento y otras debajo .
PDT	Génesis	1	8	Dios llamó al firmamento « cielo » . Llegó la tarde y después la mañana . Ese fue el segundo día .
PDT	Génesis	1	9	Luego Dios dijo : « Que las aguas debajo del cielo se junten en un solo lugar , para que aparezca el suelo seco » . Y así sucedió .
PDT	Génesis	1	10	Dios llamó a este suelo seco « tierra » y a las aguas que se habían juntado las llamó « mar » . Y Dios vio que estaba muy bien esto que había hecho .
PDT	Génesis	1	11	Entonces Dios dijo : « Que la tierra se cubra de vegetación : toda clase de plantas que den semillas y árboles que den frutos con semilla » . Y así sucedió .
PDT	Génesis	1	12	La tierra se llenó de vegetación : toda clase de plantas que dan granos y árboles que dan frutos con semilla . Y Dios vio que estaba muy bien esto que había hecho .
PDT	Génesis	1	13	Llegó la tarde y después la mañana . Ese fue el tercer día .
PDT	Génesis	1	14	Después Dios dijo : « Que haya luces en el firmamento del cielo para poder así separar el día de la noche y para que sirvan para señalar los días , los años y las festividades .
PDT	Génesis	1	15	Que estas luces estén en el firmamento para alumbrar la tierra » . Y así sucedió .
PDT	Génesis	1	16	Dios hizo dos grandes luces : la más grande para gobernar el día y la más pequeña para gobernar la noche . También hizo las estrellas .
PDT	Génesis	1	17	Dios puso estas luces en el cielo para darle iluminación a la tierra ,
PDT	Génesis	1	18	para que las dos gobernaran , una durante el día y la otra durante la noche ; y para separar la luz de la oscuridad . Y Dios vio que estaba muy bien esto que había hecho .
PDT	Génesis	1	19	Luego llegó la tarde y después la mañana . Ese fue el cuarto día .
PDT	Génesis	1	20	Entonces Dios dijo : « Que las aguas se llenen de seres vivientes y haya aves volando en el firmamento sobre la tierra » .
PDT	Génesis	1	21	Así creó los animales gigantescos del mar y toda especie de los animales que viven en el agua . También creó todas las especies de aves . Y Dios vio que estaba muy bien esto que había hecho .
PDT	Génesis	1	22	Dios los bendijo diciendo : « Tengan hijos y multiplíquense para llenar el agua de los mares y que haya muchas aves en el mundo » .
PDT	Génesis	1	23	Llegó la tarde y después la mañana . Ese fue el quinto día .
PDT	Génesis	1	24	Después Dios dijo : « Que la tierra produzca seres vivientes de todo tipo : animales domésticos y silvestres y los que se arrastran por el suelo » . Y así sucedió .
PDT	Génesis	1	25	Dios hizo toda clase de animales : animales domésticos y silvestres y los que se arrastran por el suelo . Y Dios vio que estaba muy bien esto que había hecho .
PDT	Génesis	1	26	Luego Dios dijo : « Ahora hagamos al ser humano a nuestra imagen y semejanza . Tendrá poder sobre los peces del mar , sobre las aves del cielo y en toda la tierra . Reinará sobre los animales terrestres , y sobre todos los que se arrastran por el suelo » .
PDT	Génesis	1	27	Así que Dios creó al ser humano a su imagen y semejanza , creó al varón y a la mujer .
PDT	Génesis	1	28	Y los bendijo diciendo : « Tengan muchos hijos para así poblar el mundo y ejercer control sobre él : sean jefes de los peces del mar , de las aves del cielo y de toda criatura que se arrastra por el suelo » .
PDT	Génesis	1	29	Y Dios dijo : « Miren , les he dado todas las plantas que dan semillas y los árboles que dan frutos con semilla . Ellos serán su comida .
PDT	Génesis	1	30	Pero a todo animal en la tierra , a todo pájaro en el cielo , a toda criatura que se arrastra por el suelo ; en fin , todo lo que tiene vida le doy la hierba como alimento » . Y así sucedió .
PDT	Génesis	1	31	Dios vio todo lo que había hecho , y todo había quedado muy , pero muy bien . Luego llegó la tarde y después la mañana . Ese fue el sexto día . Footnotes - 1:6 firmamento Aquí se refiere a algo que parece una bóveda de metal . ©
PDT	Génesis	1	2005	,
PDT	Génesis	1	2008	,
PDT	Génesis	1	2012	,
PDT	Génesis	1	2015	Bible League International
PDT	Génesis	2	2	En el séptimo día , Dios cesó todo el trabajo que había hecho en la creación .
PDT	Génesis	2	3	Bendijo el séptimo día y lo declaró día santo porque cesó ese día todo el trabajo que había hecho en la creación . Comienzo de la humanidad
PDT	Génesis	2	4	Esa es la historia de la creación del cielo y la tierra . [ a ] La siguiente es la historia de lo que ocurrió después que el SEÑOR Dios hizo los cielos y la tierra .
PDT	Génesis	2	5	Aun no se cultivaba ninguna planta ni crecía ninguna hierba silvestre en los campos porque el SEÑOR Dios no había hecho llover sobre la tierra y no había ningún ser humano que trabajara la tierra .
PDT	Génesis	2	6	Pero salía agua de ella y rociaba todo el suelo .
PDT	Génesis	2	7	El SEÑOR Dios formó al hombre [ b ] tomando polvo de la tierra , sopló en su nariz aliento de vida y el hombre se convirtió en un ser viviente .
PDT	Génesis	2	8	Luego el SEÑOR Dios plantó un jardín en el Edén [ c ] , en el oriente [ d ] y allí puso al hombre que había formado .
PDT	Génesis	2	9	El SEÑOR Dios hizo que del suelo creciera toda clase de árboles hermosos de frutos comestibles y deliciosos . El árbol de la vida se encontraba en medio del jardín y allí también estaba el árbol del conocimiento del bien y del mal .
PDT	Génesis	2	10	Un río del Edén regaba el jardín . Este río recibía agua de cuatro ríos distintos .
PDT	Génesis	2	11	El primero se llamaba Pisón y corría por toda la región de Javilá [ e ] , donde hay oro .
PDT	Génesis	2	12	El oro de esa región es de buena calidad , y también hay bedelio [ f ] y ónice .
