estilo	livro	capitulo	versiculo	texto
RVA-2015	Mateo	1	1	Crón . 3:16 ,
RVA-2015	Mateo	1	2	Rey . 24:6-9 . - Mateo 1:23 Isa . 7:14 . - Mateo 1:25 Isa . 8:8 . Version Reina Valera Actualizada , Copyright ©
RVA-2015	Mateo	1	3	Judá engendró de Tamar a Fares y a Zéraj ; Fares engendró a Hesrón ; Hesrón engendró a Aram ;
RVA-2015	Mateo	1	4	Aram engendró a Aminadab ; Aminadab engendró a Najsón ; Najsón engendró a Salmón ;
RVA-2015	Mateo	1	5	Salmón engendró de Rajab a Boaz ; Boaz engendró de Rut a Obed ; Obed engendró a Isaí ;
RVA-2015	Mateo	1	6	Isaí engendró al rey David . David engendró a Salomón , de la que fue mujer de Urías ;
RVA-2015	Mateo	1	7	Salomón engendró a Roboam ; Roboam engendró a Abías ; Abías engendró a Asa ;
RVA-2015	Mateo	1	8	Asa engendró a Josafat ; Josafat engendró a Joram ; Joram engendró a Uzías ;
RVA-2015	Mateo	1	9	Uzías engendró a Jotam ; Jotam engendró a Acaz ; Acaz engendró a Ezequías ;
RVA-2015	Mateo	1	10	Ezequías engendró a Manasés ; Manasés engendró a Amón ; Amón engendró a Josías ;
RVA-2015	Mateo	1	11	Josías engendró a Jeconíasa y a sus hermanos en el tiempo de la deportación a Babilonia .
RVA-2015	Mateo	1	12	Después de la deportación a Babilonia , Jeconíasa engendró a Salatiel ; Salatiel engendró a Zorobabel ;
RVA-2015	Mateo	1	13	Zorobabel engendró a Abiud ; Abiud engendró a Eliaquim ; Eliaquim engendró a Azor ;
RVA-2015	Mateo	1	14	Azor engendró a Sadoc ; Sadoc engendró a Aquim ; Aquim engendró a Eliud ;
RVA-2015	Mateo	1	15	Eliud engendró a Eleazar ; Eleazar engendró a Matán ; Matán engendró a Jacob .
RVA-2015	Mateo	1	16	Jacob engendró a José , marido de María , de la cual nació Jesús , llamado el Cristo .
RVA-2015	Mateo	1	17	;
RVA-2015	Mateo	1	18	El nacimiento de Jesucristo fue así : Su madre María estaba desposada con José ; y antes de que se unieran se halló que ella había concebido del Espíritu Santo .
RVA-2015	Mateo	1	19	José , su marido , como era justo y no quería difamarla , se propuso dejarla secretamente .
RVA-2015	Mateo	1	20	Mientras él pensaba en esto , he aquí un ángel del Señor se le apareció en sueños y le dijo : “ José , hijo de David , no temas recibir a María tu mujer , porque lo que ha sido engendrado en ella es del Espíritu Santo .
RVA-2015	Mateo	1	21	Ella dará a luz un hijo ; y llamarás su nombre Jesús , porque él salvará a su pueblo de sus pecados ” .
RVA-2015	Mateo	1	22	Todo esto aconteció para que se cumpliera lo que habló el Señor por medio del profeta , diciendo :
RVA-2015	Mateo	1	23	He aquí , la virgen concebirá y dará a luz un hijo , y llamarán su nombre Emanuel [ a ] , que traducido quiere decir : Dios con nosotros [ b ] .
RVA-2015	Mateo	1	24	Cuando José despertó del sueño , hizo como el ángel del Señor le había mandado y recibió a su mujer .
RVA-2015	Mateo	1	25	Pero no la conoció hasta que ella dio a luz un hijo [ c ] , y llamó su nombre Jesús . Footnotes - Mateo 1:23 O sea , Joaquín ;
RVA-2015	Mateo	1	2015	by Editorial Mundo Hispano
RVA-2015	Mateo	2	2	Sam . 5:2 . - Mateo 2:18 Ose . 11:1 . - Mateo 2:18 Algunos mss . antiguos dicen duelo y grande llanto . Version Reina Valera Actualizada , Copyright ©
RVA-2015	Mateo	2	3	Cuando el rey Herodes oyó esto , se turbó , y toda Jerusalén con él .
RVA-2015	Mateo	2	4	Y habiendo convocado a todos los principales sacerdotes y a los escribas del pueblo , les preguntó dónde había de nacer el Cristo .
RVA-2015	Mateo	2	5	Ellos le dijeron : —En Belén de Judea , porque así está escrito por el profeta :
RVA-2015	Mateo	2	6	Y tú , Belén , en la tierra de Judá , de ninguna manera eres la más pequeña entre los gobernadores de Judá ; porque de ti saldrá un gobernante que pastoreará a mi pueblo Israel [ a ] .
RVA-2015	Mateo	2	7	Entonces Herodes llamó en secreto a los magos e indagó de ellos el tiempo de la aparición de la estrella .
RVA-2015	Mateo	2	8	Y enviándolos a Belén , les dijo : —Vayan y averigüen con cuidado acerca del niño . Tan pronto lo hallen , háganmelo saber , para que yo también vaya y lo adore .
RVA-2015	Mateo	2	9	Ellos , después de oír al rey , se fueron . Y he aquí la estrella que habían visto en el oriente iba delante de ellos , hasta que llegó y se detuvo sobre donde estaba el niño .
RVA-2015	Mateo	2	10	Al ver la estrella , se regocijaron con gran alegría .
RVA-2015	Mateo	2	11	Cuando entraron en la casa , vieron al niño con María su madre , y postrándose lo adoraron . Entonces abrieron sus tesoros y le ofrecieron presentes de oro , incienso y mirra .
RVA-2015	Mateo	2	12	Pero , advertidos por revelación en sueños que no volvieran a Herodes , regresaron a su país por otro camino . La huida a Egipto
RVA-2015	Mateo	2	13	Después que ellos partieron , he aquí un ángel del Señor se le apareció en sueños a José diciendo : “ Levántate ; toma al niño y a su madre , y huye a Egipto . Quédate allá hasta que yo te diga , porque Herodes va a buscar al niño para matarlo ” .
RVA-2015	Mateo	2	14	Entonces José se levantó , tomó de noche al niño y a su madre , y se fue a Egipto .
RVA-2015	Mateo	2	15	Y estuvo allí hasta la muerte de Herodes , para que se cumpliera lo que habló el Señor por medio del profeta , diciendo : De Egipto llamé a mi hijo [ b ] . La masacre de los niños
