estilo	livro	capitulo	versiculo	texto
RVA-2015	Génesis	1	1	En el principio creó Dios los cielos y la tierra .
RVA-2015	Génesis	1	2	Y la tierra estaba sin orden y vacía . Había tinieblas sobre la faz del océano , y el Espíritu de Dios se movía sobre la faz de las aguas .
RVA-2015	Génesis	1	3	Entonces dijo Dios : “ Sea la luz ” , y fue la luz .
RVA-2015	Génesis	1	4	Dios vio que la luz era buena , y separó Dios la luz de las tinieblas .
RVA-2015	Génesis	1	5	Dios llamó a la luz “ día ” , y a las tinieblas llamó “ noche ” . Y fue la tarde y fue la mañana del primer día .
RVA-2015	Génesis	1	6	Entonces dijo Dios : “ Haya una bóveda en medio de las aguas , para que separe las aguas de las aguas ” .
RVA-2015	Génesis	1	7	E hizo Dios la bóveda , y separó las aguas que están debajo de la bóveda de las aguas que están sobre la bóveda . Y fue así .
RVA-2015	Génesis	1	8	Dios llamó a la bóveda “ cielos ” . Y fue la tarde y fue la mañana del segundo día .
RVA-2015	Génesis	1	9	Entonces dijo Dios : “ Reúnanse las aguas que están debajo del cielo en un solo lugar , de modo que aparezca la parte seca ” . Y fue así .
RVA-2015	Génesis	1	10	Llamó Dios a la parte seca “ tierra ” , y a la reunión de las aguas llamó “ mares ” ; y vio Dios que esto era bueno .
RVA-2015	Génesis	1	11	Después dijo Dios : “ Produzca la tierra hierba , plantas que den semilla y árboles frutales que den fruto según su especie , cuya semilla esté en él , sobre la tierra ” . Y fue así .
RVA-2015	Génesis	1	12	La tierra produjo hierba , plantas que dan semilla según su especie , árboles frutales cuya semilla está en su fruto según su especie . Y vio Dios que esto era bueno .
RVA-2015	Génesis	1	13	Y fue la tarde y fue la mañana del tercer día .
RVA-2015	Génesis	1	14	Entonces dijo Dios : “ Haya lumbreras en la bóveda del cielo para distinguir el día de la noche , para servir de señales , para las estaciones y para los días y los años .
RVA-2015	Génesis	1	15	Así sirvan de lumbreras para que alumbren la tierra desde la bóveda del cielo ” . Y fue así .
RVA-2015	Génesis	1	16	E hizo Dios las dos grandes lumbreras : la lumbrera mayor para dominar en el día , y la lumbrera menor para dominar en la noche . Hizo también las estrellas .
RVA-2015	Génesis	1	17	Dios las puso en la bóveda del cielo para alumbrar sobre la tierra ,
RVA-2015	Génesis	1	18	para dominar en el día y en la noche , y para separar la luz de las tinieblas . Y vio Dios que esto era bueno .
RVA-2015	Génesis	1	19	Y fue la tarde y fue la mañana del cuarto día .
RVA-2015	Génesis	1	20	Entonces dijo Dios : “ Produzcan las aguas innumerables seres vivientes , y haya aves que vuelen sobre la tierra , en la bóveda del cielo ” .
RVA-2015	Génesis	1	21	Y creó Dios los grandes animales acuáticos , todos los seres vivientes que se desplazan y que las aguas produjeron según su especie , y toda ave alada según su especie . Vio Dios que esto era bueno ,
RVA-2015	Génesis	1	22	y los bendijo Dios diciendo : “ Sean fecundos y multiplíquense . Llenen las aguas de los mares ; y multiplíquense las aves en la tierra ” .
RVA-2015	Génesis	1	23	Y fue la tarde y fue la mañana del quinto día .
RVA-2015	Génesis	1	24	Entonces dijo Dios : “ Produzca la tierra seres vivientes según su especie : ganado , reptiles y animales de la tierra según su especie ” . Y fue así .
RVA-2015	Génesis	1	25	Hizo Dios los animales de la tierra según su especie , el ganado según su especie y los reptiles de la tierra según su especie . Y vio Dios que esto era bueno .
RVA-2015	Génesis	1	26	Entonces dijo Dios : “ Hagamos al hombre a nuestra imagen , conforme a nuestra semejanza , y tenga dominio sobre los peces del mar , las aves del cielo , el ganado , y en toda la tierra , y sobre todo animal que se desplaza sobre la tierra ” .
RVA-2015	Génesis	1	27	Creó , pues , Dios al hombre a su imagen ; a imagen de Dios lo creó ; hombre y mujer los creó .
RVA-2015	Génesis	1	28	Dios los bendijo y les dijo : “ Sean fecundos y multiplíquense . Llenen la tierra ; sojúzguenla y tengan dominio sobre los peces del mar , las aves del cielo y todos los animales que se desplazan sobre la tierra ” .
RVA-2015	Génesis	1	29	Dios dijo además : “ He aquí que les he dado toda planta que da semilla que está sobre la superficie de toda la tierra , y todo árbol cuyo fruto lleva semilla ; ellos les servirán de alimento .
RVA-2015	Génesis	1	30	Y a todo animal de la tierra , a toda ave del cielo , y a todo animal que se desplaza sobre la tierra , en que hay vida , toda planta les servirá de alimento ” . Y fue así .
RVA-2015	Génesis	1	31	Dios vio todo lo que había hecho , y he aquí que era muy bueno . Y fue la tarde y fue la mañana del sexto día . Version Reina Valera Actualizada , Copyright ©
RVA-2015	Génesis	1	2015	by Editorial Mundo Hispano
RVA-2015	Génesis	2	2	El séptimo día Dios había terminado la obra que hizo , y reposó en el séptimo día de toda la obra que había hecho .
RVA-2015	Génesis	2	3	Por eso Dios bendijo y santificó el séptimo día , porque en él reposó de toda su obra de creación que Dios había hecho .
RVA-2015	Génesis	2	4	Estos son los orígenes de los cielos y de la tierra , cuando fueron creados . El hombre en el jardín de Edén Cuando el SEÑOR Dios hizo la tierra y los cielos ,
RVA-2015	Génesis	2	5	aún no había en la tierra ningún arbusto del campo ni había germinado ninguna planta del campo , porque el SEÑOR Dios no había hecho llover sobre la tierra ni había hombre para cultivarla .
RVA-2015	Génesis	2	6	Pero subía de la tierra un manantial que regaba toda la superficie de la tierra .
RVA-2015	Génesis	2	7	Entonces el SEÑOR Dios formó al hombre del polvo de la tierra . Sopló en su nariz aliento de vida , y el hombre llegó a ser un ser viviente .
RVA-2015	Génesis	2	8	Y plantó el SEÑOR Dios un jardín en Edén , en el oriente , y puso allí al hombre que había formado .
RVA-2015	Génesis	2	9	El SEÑOR Dios hizo brotar de la tierra toda clase de árboles atractivos a la vista y buenos para comer ; también en medio del jardín , el árbol de la vida y el árbol del conocimiento del bien y del mal .
RVA-2015	Génesis	2	10	Un río salía de Edén para regar el jardín , y de allí se dividía en cuatro brazos .
RVA-2015	Génesis	2	11	El nombre del primero era Pisón . Este rodeaba toda la tierra de Havila , donde hay oro .
RVA-2015	Génesis	2	12	Y el oro de aquella tierra es bueno . También hay allí ámbar y ónice .
RVA-2015	Génesis	2	13	El nombre del segundo río era Guijón . Este rodeaba toda la tierra de Etiopía .
RVA-2015	Génesis	2	14	El nombre del tercer río era Tigris , que corre al oriente de Asiria . Y el cuarto río era el Éufrates .
RVA-2015	Génesis	2	15	Tomó , pues , el SEÑOR Dios al hombre y lo puso en el jardín de Edén , para que lo cultivara y lo guardara .
RVA-2015	Génesis	2	16	Y el SEÑOR Dios mandó al hombre diciendo : “ Puedes comer de todos los árboles del jardín ;
RVA-2015	Génesis	2	17	pero del árbol del conocimiento del bien y del mal no comerás , porque el día que comas de él , ciertamente morirás ” . Creación de la mujer
RVA-2015	Génesis	2	18	Dijo además el SEÑOR Dios : “ No es bueno que el hombre esté solo ; le haré una ayuda idónea ” .
RVA-2015	Génesis	2	19	El SEÑOR Dios , pues , formó de la tierra todos los animales del campo y todas las aves del cielo , y los trajo al hombre para ver cómo los llamaría . Lo que el hombre llamó a los animales , ese es su nombre .
RVA-2015	Génesis	2	20	El hombre puso nombres a todo el ganado , a las aves del cielo y a todos los animales del campo . Pero para Adán no halló ayuda que le fuera idónea .
RVA-2015	Génesis	2	21	Entonces el SEÑOR Dios hizo que sobre el hombre cayera un sueño profundo ; y mientras dormía , tomó una de sus costillas y cerró la carne en su lugar .
RVA-2015	Génesis	2	22	Y de la costilla que el SEÑOR Dios tomó del hombre , hizo una mujer y la trajo al hombre .
RVA-2015	Génesis	2	23	Entonces dijo el hombre : “ Ahora , esta es hueso de mis huesos y carne de mi carne . Esta será llamada ‘ mujer ’ [ a ] , porque fue tomada del hombre ” .
RVA-2015	Génesis	2	24	Por tanto , el hombre dejará a su padre y a su madre , y se unirá a su mujer , y serán una sola carne .
RVA-2015	Génesis	2	25	Estaban ambos desnudos , el hombre y su mujer , y no se avergonzaban . Footnotes - Génesis 2:23 Heb. , ishah , femenino de ish , varón . Version Reina Valera Actualizada , Copyright ©
RVA-2015	Génesis	2	2015	by Editorial Mundo Hispano
RVA-2015	Génesis	3	3	Pero del fruto del árbol que está en medio del jardín ha dicho Dios : “ No coman de él ni lo toquen , no sea que mueran ” .
RVA-2015	Génesis	3	2	La mujer respondió a la serpiente : —Podemos comer del fruto de los árboles del jardín .
RVA-2015	Génesis	3	4	Entonces la serpiente dijo a la mujer : —Ciertamente no morirán .
RVA-2015	Génesis	3	5	Es que Dios sabe que el día que coman de él , los ojos les serán abiertos , y serán como Dios , conociendo el bien y el mal .
RVA-2015	Génesis	3	6	Entonces la mujer vio que el árbol era bueno para comer , que era atractivo a la vista y que era árbol codiciable para alcanzar sabiduría . Tomó , pues , de su fruto y comió . Y también dio a su marido que estaba con ella , y él comió .
RVA-2015	Génesis	3	7	Y fueron abiertos los ojos de ambos , y se dieron cuenta de que estaban desnudos . Entonces cosieron hojas de higuera , y se hicieron delantales .
RVA-2015	Génesis	3	8	Cuando oyeron la voz del SEÑOR Dios que se paseaba por el jardín en la brisa del día , el hombre y su mujer se escondieron de la presencia del SEÑOR Dios entre los árboles del jardín .
RVA-2015	Génesis	3	9	Pero el SEÑOR Dios llamó al hombre y le preguntó : —¿Dónde estás tú ?
RVA-2015	Génesis	3	10	Él respondió : —Oí tu voz en el jardín y tuve miedo , porque estaba desnudo . Por eso me escondí .
RVA-2015	Génesis	3	11	Le preguntó Dios : —¿Quién te dijo que estabas desnudo ? ¿Acaso has comido del árbol del que te mandé que no comieras ?
RVA-2015	Génesis	3	12	El hombre respondió : —La mujer que me diste por compañera , ella me dio del árbol , y yo comí .
RVA-2015	Génesis	3	13	Entonces el SEÑOR Dios dijo a la mujer : —¿Por qué has hecho esto ? La mujer dijo : —La serpiente me engañó , y comí .
RVA-2015	Génesis	3	14	Entonces el SEÑOR Dios dijo a la serpiente : —Porque hiciste esto , serás maldita entre todos los animales domésticos y entre todos los animales del campo . Te arrastrarás sobre tu vientre y comerás polvo todos los días de tu vida .
RVA-2015	Génesis	3	15	Y pondré enemistad entre ti y la mujer , y entre tu descendencia y su descendencia ; esta te herirá en la cabeza , y tú la herirás en el talón .
RVA-2015	Génesis	3	16	A la mujer dijo : —Aumentaré mucho tu sufrimiento en el embarazo ; con dolor darás a luz a los hijos . Tu deseo te llevará a tu marido , y él se enseñoreará de ti .
RVA-2015	Génesis	3	17	Y al hombre dijo : —Porque obedeciste la voz de tu mujer y comiste del árbol del que te mandé diciendo : “ No comas de él ” , sea maldita la tierra por tu causa . Con dolor comerás de ella todos los días de tu vida ;
RVA-2015	Génesis	3	18	espinos y cardos te producirá , y comerás plantas del campo .
RVA-2015	Génesis	3	19	Con el sudor de tu frente comerás el pan hasta que vuelvas a la tierra , pues de ella fuiste tomado . Porque polvo eres y al polvo volverás .
RVA-2015	Génesis	3	20	El hombre llamó el nombre de su mujer Eva [ a ] , porque ella sería la madre de todos los vivientes .
RVA-2015	Génesis	3	21	Luego el SEÑOR Dios hizo vestidos de piel para Adán [ b ] y para su mujer , y los vistió .
RVA-2015	Génesis	3	22	Y el SEÑOR Dios dijo : —He aquí que el hombre ha llegado a ser como uno de nosotros , conociendo el bien y el mal . Ahora pues , que no extienda su mano , tome también del árbol de la vida , y coma y viva para siempre .
RVA-2015	Génesis	3	23	Y el SEÑOR Dios lo arrojó del jardín de Edén , para que labrara la tierra de la que fue tomado .
RVA-2015	Génesis	3	24	Expulsó , pues , al hombre y puso querubines al oriente del jardín de Edén , y una espada incandescente que se movía en toda dirección , para guardar el camino al árbol de la vida . Footnotes - Génesis 3:20 Significa viviente . - Génesis 3:21 O : el hombre . Version Reina Valera Actualizada , Copyright ©
RVA-2015	Génesis	3	2015	by Editorial Mundo Hispano
RVA-2015	Génesis	4	4	Abel también trajo una ofrenda de los primogénitos de sus ovejas , lo mejor de ellas . Y el SEÑOR miró con agrado a Abel y su ofrenda ,
RVA-2015	Génesis	4	2	Después dio a luz a su hermano Abel . Abel fue pastor de ovejas ; y Caín , labrador de la tierra .
RVA-2015	Génesis	4	3	Aconteció después de un tiempo que Caín trajo , del fruto de la tierra , una ofrenda al SEÑOR .
RVA-2015	Génesis	4	5	pero no miró con agrado a Caín ni su ofrenda . Por eso Caín se enfureció mucho , y decayó su semblante .
RVA-2015	Génesis	4	6	Entonces el SEÑOR dijo a Caín : —¿Por qué te has enfurecido ? ¿Por qué ha decaído tu semblante ?
RVA-2015	Génesis	4	7	Si haces lo bueno , ¿no serás enaltecido ? Pero si no haces lo bueno , el pecado está a la puerta y te seducirá ; pero tú debes enseñorearte de él .
RVA-2015	Génesis	4	8	Caín habló con su hermano Abel [ b ] . Y sucedió que estando juntos en el campo , Caín se levantó contra su hermano Abel y lo mató .
RVA-2015	Génesis	4	9	Entonces el SEÑOR preguntó a Caín : —¿Dónde está tu hermano Abel ? Y respondió : —No sé . ¿Soy yo acaso el guarda de mi hermano ?
RVA-2015	Génesis	4	10	Le preguntó : —¿Qué has hecho ? La voz de la sangre de tu hermano clama a mí desde la tierra .
RVA-2015	Génesis	4	11	Ahora pues , maldito seas tú , lejos de la tierra que abrió su boca para recibir de tu mano la sangre de tu hermano .
RVA-2015	Génesis	4	12	Cuando trabajes la tierra , ella no te volverá a dar su fuerza . Y serás errante y fugitivo en la tierra .
RVA-2015	Génesis	4	13	Caín dijo al SEÑOR : —¡Grande es mi castigo para ser soportado !
RVA-2015	Génesis	4	14	He aquí que me echas hoy de la faz de la tierra , y me esconderé de tu presencia . Seré errante y fugitivo en la tierra , y sucederá que cualquiera que me halle me matará .
