estilo	livro	capitulo	versiculo	texto
RVC	Mateo	1	1	Libro de la genealogía de Jesucristo , hijo de David , hijo de Abrahán .
RVC	Mateo	1	2	Abrahán engendró a Isaac , Isaac a Jacob , y Jacob a Judá y a sus hermanos .
RVC	Mateo	1	3	Judá engendró con Tamar a Fares y a Zeraj , Fares a Esrón , y Esrón a Aram .
RVC	Mateo	1	4	Aram engendró a Aminadab , Aminadab a Nasón , y Nasón a Salmón .
RVC	Mateo	1	5	Salmón engendró con Rajab a Booz , Booz engendró con Rut a Obed , y Obed a Yesé .
RVC	Mateo	1	6	Yesé engendró al rey David , y con la que fue mujer de Urías el rey David engendró a Salomón .
RVC	Mateo	1	7	Salomón engendró a Roboán , Roboán a Abías , y Abías a Asa .
RVC	Mateo	1	8	Asa engendró a Josafat , Josafat a Jorán , y Jorán a Uzías .
RVC	Mateo	1	9	Uzías engendró a Yotán , Yotán a Ajaz , y Ajaz a Ezequías .
RVC	Mateo	1	10	Ezequías engendró a Manasés , Manasés a Amón , y Amón a Josías .
RVC	Mateo	1	11	En el tiempo de la deportación a Babilonia , ( B ) Josías engendró a Jeconías y a sus hermanos .
RVC	Mateo	1	12	Después de la deportación a Babilonia , Jeconías engendró a Salatiel , y Salatiel a Zorobabel .
RVC	Mateo	1	13	Zorobabel engendró a Abiud , Abiud a Eliaquín , y Eliaquín a Azor .
RVC	Mateo	1	14	Azor engendró a Sadoc , Sadoc a Aquín , y Aquín a Eliud .
RVC	Mateo	1	15	Eliud engendró a Eleazar , Eleazar a Matán , Matán a Jacob ;
RVC	Mateo	1	16	y Jacob engendró a José , marido de María , de la cual nació Jesús , llamado el Cristo .
RVC	Mateo	1	17	De manera que todas las generaciones , desde Abrahán hasta David , son catorce ; desde David hasta la deportación a Babilonia , catorce ; y desde la deportación a Babilonia hasta Cristo , catorce . Nacimiento de Jesucristo ( C )
RVC	Mateo	1	18	El nacimiento de Jesucristo fue así : María , la madre de Jesús , estaba comprometida con José , ( D ) pero antes de unirse como esposos se encontró que ella había concebido del Espíritu Santo .
RVC	Mateo	1	19	José , su marido , era un hombre justo y quiso dejarla secretamente , pues no quería denigrarla .
RVC	Mateo	1	20	Mientras José reflexionaba al respecto , un ángel del Señor se le apareció en sueños y le dijo : « José , hijo de David , no temas recibir a María , tu mujer , porque su hijo ha sido concebido por el Espíritu Santo .
RVC	Mateo	1	21	María tendrá un hijo , a quien pondrás por nombre ( E ) JESÚS , [ a ] porque él salvará a su pueblo de sus pecados. » ( F )
RVC	Mateo	1	22	Todo esto sucedió para que se cumpliera lo que el Señor dijo por medio del profeta :
RVC	Mateo	1	23	« Una virgen concebirá y dará a luz un hijo , y le pondrás por nombre Emanuel , ( G ) que significa : “ Dios está con nosotros. ” »
RVC	Mateo	1	24	Cuando José despertó del sueño , hizo lo que el ángel del Señor le había mandado y recibió a su mujer ,
RVC	Mateo	1	25	pero no la conoció hasta que dio a luz a su hijo primogénito . Y le puso por nombre JESÚS . ( H ) Footnotes - Mateo 1:21 Es decir , Salvador .
RVC	Mateo	2	2	y preguntaron : « ¿Dónde está el rey de los judíos , que ha nacido ? Porque hemos visto su estrella en el oriente , y venimos a adorarlo. »
RVC	Mateo	2	3	Cuando el rey Herodes oyó esto , se turbó , y toda Jerusalén con él .
RVC	Mateo	2	4	Convocó entonces a todos los principales sacerdotes y a los escribas del pueblo , y les preguntó dónde había de nacer el Cristo .
RVC	Mateo	2	5	Ellos le dijeron : « En Belén de Judea ; porque así está escrito por el profeta :
RVC	Mateo	2	6	» “ Y tú , Belén , de la tierra de Judá , no eres la más pequeña entre los príncipes de Judá ; porque de ti saldrá un guía que apacentará [ a ] a mi pueblo Israel. ” » ( A )
RVC	Mateo	2	7	Luego , Herodes llamó en secreto a los sabios para saber de ellos el tiempo preciso en que había aparecido la estrella .
RVC	Mateo	2	8	Los envió a Belén , y les dijo : « Vayan y averigüen con sumo cuidado acerca del niño , y cuando lo encuentren , avísenme , para que yo también vaya a adorarlo. »
RVC	Mateo	2	9	Después de escuchar al rey , los sabios se fueron . La estrella que habían visto en el oriente iba delante de ellos , hasta que se detuvo sobre el lugar donde estaba el niño .
RVC	Mateo	2	10	Al ver la estrella , se regocijaron mucho .
RVC	Mateo	2	11	Cuando entraron en la casa , vieron al niño con su madre María y , postrándose ante él , lo adoraron . Luego , abrieron sus tesoros y le ofrecieron oro , incienso y mirra .
RVC	Mateo	2	12	Pero como en sueños se les advirtió que no volvieran a donde estaba Herodes , regresaron a su tierra por otro camino . Matanza de los niños
RVC	Mateo	2	13	Después de que los sabios partieron , un ángel del Señor se apareció en sueños a José y le dijo : « Levántate , toma al niño y a su madre , y huye a Egipto . Quédate allá hasta que yo te diga , porque Herodes buscará al niño para matarlo. »
RVC	Mateo	2	14	Cuando él despertó , tomó de noche al niño y a su madre , y se fue a Egipto ,
RVC	Mateo	2	15	y se quedó allá hasta la muerte de Herodes . Esto sucedió para que se cumpliera lo que dijo el Señor por medio del profeta : « De Egipto llamé a mi Hijo. » ( B )
RVC	Mateo	2	16	Cuando Herodes vio que los sabios lo habían engañado , se enojó mucho y , calculando el tiempo indicado por los sabios , mandó matar a todos los niños menores de dos años que vivían en Belén y en sus alrededores .
RVC	Mateo	2	17	Se cumplió así lo dicho por el profeta Jeremías :
RVC	Mateo	2	18	« Se oye una voz en Ramá ; gran llanto y gemido : es Raquel , que llora a sus hijos , y no quiere ser consolada , porque ya no existen. » ( C )
RVC	Mateo	2	19	Después de que murió Herodes , un ángel del Señor se apareció en sueños a José en Egipto ,
RVC	Mateo	2	20	y le dijo : « Levántate , toma al niño y a su madre , y regresa a Israel , porque los que querían matar al niño han muerto ya. »
RVC	Mateo	2	21	Entonces José se levantó y llevó al niño y a su madre de regreso a Israel .
RVC	Mateo	2	22	Cuando supo que Arquelao reinaba en Judea en lugar de su padre Herodes , tuvo temor de ir allá , pero en sueños fue advertido y se dirigió a la región de Galilea .
