estilo	livro	capitulo	versiculo	texto
RVC	Génesis	1	1	Dios , en el principio , creó los cielos y la tierra .
RVC	Génesis	1	2	La tierra estaba desordenada y vacía , las tinieblas cubrían la faz del abismo , y el espíritu de Dios se movía sobre la superficie de las aguas .
RVC	Génesis	1	3	Y dijo Dios : « ¡Que haya luz ! » ( A ) Y hubo luz .
RVC	Génesis	1	4	Y vio Dios que la luz era buena , y separó Dios la luz de las tinieblas ;
RVC	Génesis	1	5	a la luz , Dios la llamó « Día » , y a las tinieblas las llamó « Noche » . Cayó la tarde , y llegó la mañana . Ése fue el día primero .
RVC	Génesis	1	6	Luego dijo Dios : « ¡Que haya algo firme en medio de las aguas , para que separe unas aguas de otras aguas ! »
RVC	Génesis	1	7	Y Dios hizo una bóveda , y parte de las aguas quedaron arriba de la bóveda , y parte de las aguas quedaron abajo . Y así fue .
RVC	Génesis	1	8	Dios llamó « cielos » a la bóveda . ( B ) Cayó la tarde , y llegó la mañana . Ése fue el día segundo .
RVC	Génesis	1	9	También dijo Dios : « ¡Que se junten en un solo lugar las aguas que están debajo de los cielos , y que se descubra lo seco ! » Y así fue .
RVC	Génesis	1	10	A lo seco , Dios lo llamó « tierra » , y al conjunto de las aguas lo llamó « mares » . Y vio Dios que era bueno .
RVC	Génesis	1	11	Después dijo Dios : « ¡Que produzca la tierra hierba verde , hierba que dé semilla , y árboles frutales sobre la tierra que den fruto según su género , y cuya semilla esté en ellos ! » Y así fue .
RVC	Génesis	1	12	Y así la tierra produjo hierba verde , hierba que da semilla según su naturaleza , y árboles que dan fruto según su género , y cuya semilla está en ellos . Y vio Dios que era bueno .
RVC	Génesis	1	13	Cayó la tarde , y llegó la mañana . Ése fue el día tercero .
RVC	Génesis	1	14	Luego dijo Dios : « ¡Que haya lumbreras en la bóveda celeste , para que separen el día de la noche y sirvan de señales para las estaciones , los días y los años !
RVC	Génesis	1	15	¡Que sirvan de lumbreras en la bóveda celeste , y que alumbren sobre la tierra ! » Y así fue .
RVC	Génesis	1	16	Y Dios hizo las dos grandes lumbreras : el sol , para ser el rey del día , y la luna , para ser la reina de la noche . Además , hizo las estrellas .
RVC	Génesis	1	17	Y las puso Dios en la bóveda celeste , para que alumbraran sobre la tierra ,
RVC	Génesis	1	18	para que reinaran en el día y en la noche , y para que separaran la luz de las tinieblas . Y vio Dios que era bueno .
RVC	Génesis	1	19	Cayó la tarde , y llegó la mañana . Ése fue el día cuarto .
RVC	Génesis	1	20	Y dijo Dios : « ¡Que produzcan las aguas seres vivos , y aves que vuelen sobre la tierra , por la bóveda celeste ! »
RVC	Génesis	1	21	Dios creó entonces los grandes monstruos marinos , y todo ser vivo que repta y que las aguas produjeron según su género , y todo animal alado según su especie . Y vio Dios que era bueno .
RVC	Génesis	1	22	Y Dios los bendijo con estas palabras : « ¡Reprodúzcanse , multiplíquense ! ¡Llenen las aguas de los mares ! ¡Que se multipliquen las aves en la tierra ! »
RVC	Génesis	1	23	Cayó la tarde , y llegó la mañana . Ése fue el día quinto .
RVC	Génesis	1	24	Luego dijo Dios : « ¡Que produzca la tierra seres vivos según su género ; y bestias , serpientes y animales terrestres según su especie ! » Y así fue .
RVC	Génesis	1	25	Y Dios hizo animales terrestres según su género , y ganado según su género , y todo animal que repta sobre la tierra según su especie . Y vio Dios que era bueno .
RVC	Génesis	1	26	Entonces dijo Dios : « ¡Hagamos al hombre a nuestra imagen ( C ) y semejanza ! ¡Que domine en toda la tierra sobre los peces del mar , sobre las aves de los cielos y las bestias , y sobre todo animal que repta sobre la tierra ! »
RVC	Génesis	1	27	Y Dios creó al hombre a su imagen . Lo creó a imagen de Dios . Hombre y mujer los creó . ( D )
RVC	Génesis	1	28	Y los bendijo Dios ( E ) con estas palabras : « ¡Reprodúzcanse , multiplíquense , y llenen la tierra ! ¡Domínenla ! ¡Sean los señores de los peces del mar , de las aves de los cielos , y de todos los seres que reptan sobre la tierra ! »
RVC	Génesis	1	29	Y dijo Dios : « ¡Miren ! Les he dado toda planta que da semilla y que está sobre toda la tierra , y todo árbol que da fruto y semilla . Ellos les servirán de alimento .
RVC	Génesis	1	30	Para toda bestia de la tierra , y para todas las aves de los cielos , y para todo lo que repta sobre la tierra y que tiene vida , toda planta verde les servirá de alimento. » Y así fue .
RVC	Génesis	1	31	Y vio Dios todo lo que había hecho , y todo ello era bueno en gran manera . Cayó la tarde , y llegó la mañana . Ése fue el día sexto .
RVC	Génesis	2	2	Dios terminó en el día séptimo la obra que hizo ; y en ese día reposó de toda su obra . ( A )
RVC	Génesis	2	3	Y Dios bendijo el día séptimo , y lo santificó , ( B ) porque en ese día reposó de toda su obra . El hombre en el huerto de Edén
RVC	Génesis	2	4	Éstos son los orígenes de los cielos y la tierra cuando fueron creados , el día que Dios el Señor hizo la tierra y los cielos ,
RVC	Génesis	2	5	y toda planta del campo antes de que existiera en la tierra , y toda hierba del campo antes de que naciera , pues Dios el Señor aún no había hecho llover sobre la tierra , ni había nadie que cultivara la tierra .
RVC	Génesis	2	6	Más bien , de la tierra subía un vapor , el cual regaba toda la superficie de la tierra .
RVC	Génesis	2	7	Entonces , del polvo de la tierra Dios el Señor formó al hombre , e infundió en su nariz aliento de vida . Así el hombre se convirtió en un ser con vida . ( C )
RVC	Génesis	2	8	Y Dios el Señor plantó un huerto en Edén , al oriente , y allí puso al hombre que había formado .
RVC	Génesis	2	9	De la tierra , Dios el Señor hizo crecer todo árbol deleitable a la vista y bueno para comer ; también estaban en medio del huerto el árbol de la vida ( D ) y el árbol del conocimiento del bien y del mal .
RVC	Génesis	2	10	De Edén salía un río que regaba el huerto , y de allí se dividía en otros cuatro ríos .
RVC	Génesis	2	11	Uno de ellos se llama Pisón , y es el que rodea toda la tierra de Javilá , donde hay oro .
RVC	Génesis	2	12	El oro de esa tierra es bueno , y allí también hay bedelio y ónice .
RVC	Génesis	2	13	El segundo río se llama Guijón , y es el que rodea toda la tierra de Cus .
RVC	Génesis	2	14	El tercer río se llama Hidekel , y es el que corre al oriente de Asiria . El cuarto río es el Éufrates .
RVC	Génesis	2	15	Dios el Señor tomó al hombre y lo puso en el huerto de Edén , para que lo cultivara y lo cuidara .
RVC	Génesis	2	16	Y Dios el Señor dio al hombre la siguiente orden : « Puedes comer de todo árbol del huerto ,
RVC	Génesis	2	17	pero no debes comer del árbol del conocimiento del bien y del mal , porque el día que comas de él ciertamente morirás. »
RVC	Génesis	2	18	Después Dios el Señor dijo : « No está bien que el hombre esté solo ; le haré una ayuda a su medida. »
RVC	Génesis	2	19	Y así , Dios el Señor formó de la tierra todos los animales del campo , y todas las aves de los cielos , y se los llevó a Adán para ver qué nombre les pondría ; y el nombre que Adán les puso a los animales con vida es el nombre que se les quedó .
RVC	Génesis	2	20	Adán puso nombre a todos los animales y a las aves de los cielos , y a todo el ganado del campo , pero para Adán no se halló una ayuda a su medida .
RVC	Génesis	2	21	Entonces Dios el Señor hizo que Adán cayera en un sueño profundo y , mientras éste dormía , le sacó una de sus costillas , y luego cerró esa parte de su cuerpo .
RVC	Génesis	2	22	Con la costilla que sacó del hombre , Dios el Señor hizo una mujer , y se la llevó al hombre .
RVC	Génesis	2	23	Entonces Adán dijo : « Ésta es ahora carne de mi carne y hueso de mis huesos ; será llamada “ mujer ” , [ a ] porque fue sacada del hombre. » [ b ]
RVC	Génesis	2	24	Por eso el hombre dejará a su padre y a su madre , y se unirá a su mujer , y serán un solo ser . [ c ] ( E )
RVC	Génesis	2	25	Y aunque Adán y su mujer andaban desnudos , no se avergonzaban de andar así . Footnotes - Génesis 2:23 Heb . Ishshah . - Génesis 2:23 Heb . Ish . - Génesis 2:24 Lit. una sola carne .
RVC	Génesis	3	3	pero Dios nos dijo : “ No coman del fruto del árbol que está en medio del huerto , ni lo toquen . De lo contrario , morirán. ” »
RVC	Génesis	3	2	La mujer le respondió a la serpiente : « Podemos comer del fruto de los árboles del huerto ,
RVC	Génesis	3	4	Entonces la serpiente le dijo a la mujer : « No morirán .
RVC	Génesis	3	5	Dios bien sabe que el día que ustedes coman de él , se les abrirán los ojos , y serán como Dios , conocedores del bien y del mal. »
RVC	Génesis	3	6	La mujer vio que el árbol era bueno para comer , apetecible a los ojos , y codiciable para alcanzar la sabiduría . Tomó entonces uno de sus frutos , y lo comió ; y le dio a su marido , que estaba con ella , y él también comió .
RVC	Génesis	3	7	En ese instante se les abrieron los ojos a los dos , y se dieron cuenta de que estaban desnudos ; entonces tejieron hojas de higuera y se cubrieron con ellas .
RVC	Génesis	3	8	El hombre y su mujer oyeron la voz de Dios el Señor , que iba y venía por el huerto , con el viento del día ; entonces corrieron a esconderse entre los árboles del huerto , para huir de la presencia de Dios el Señor .
RVC	Génesis	3	9	Pero Dios el Señor llamó al hombre y le dijo : « ¿Dónde andas ? »
RVC	Génesis	3	10	Y él respondió : « Oí tu voz en el huerto , y tuve miedo , pues estoy desnudo . Por eso me escondí. »
RVC	Génesis	3	11	Dios le dijo : « ¿Y quién te dijo que estás desnudo ? ¿Acaso has comido del árbol del que yo te ordené que no comieras ? »
RVC	Génesis	3	12	Y el hombre respondió : « La mujer que me diste por compañera fue quien me dio del árbol , y yo comí. »
