estilo	livro	capitulo	versiculo	texto
RVR1995	Génesis	1	1	En el principio creó Dios los cielos y la tierra .
RVR1995	Génesis	1	1995	La creación
RVR1995	Génesis	1	2	La tierra estaba desordenada y vacía , las tinieblas estaban sobre la faz del abismo y el espíritu de Dios se movía sobre la faz de las aguas .
RVR1995	Génesis	1	3	Dijo Dios : « Sea la luz. » Y fue la luz .
RVR1995	Génesis	1	4	Vio Dios que la luz era buena , y separó la luz de las tinieblas .
RVR1995	Génesis	1	5	Llamó a la luz « día » , y a las tinieblas llamó « noche » . Y fue la tarde y la mañana del primer día .
RVR1995	Génesis	1	6	Luego dijo Dios : « Haya un firmamento en medio de las aguas , para que separe las aguas de las aguas. »
RVR1995	Génesis	1	7	E hizo Dios un firmamento que separó las aguas que estaban debajo del firmamento , de las aguas que estaban sobre el firmamento . Y fue así .
RVR1995	Génesis	1	8	Al firmamento llamó Dios « cielos » . Y fue la tarde y la mañana del segundo día .
RVR1995	Génesis	1	9	Dijo también Dios : « Reúnanse las aguas que están debajo de los cielos en un solo lugar , para que se descubra lo seco. » Y fue así .
RVR1995	Génesis	1	10	A la parte seca llamó Dios « tierra » , y al conjunto de las aguas lo llamó « mares » . Y vio Dios que era bueno .
RVR1995	Génesis	1	11	Después dijo Dios : « Produzca la tierra hierba verde , hierba que dé semilla ; árbol que dé fruto según su especie , cuya semilla esté en él , sobre la tierra. » Y fue así .
RVR1995	Génesis	1	12	Produjo , pues , la tierra hierba verde , hierba que da semilla según su naturaleza , y árbol que da fruto , cuya semilla está en él , según su especie . Y vio Dios que era bueno .
RVR1995	Génesis	1	13	Y fue la tarde y la mañana del tercer día .
RVR1995	Génesis	1	14	Dijo luego Dios : « Haya lumbreras en el firmamento de los cielos para separar el día de la noche , que sirvan de señales para las estaciones , los días y los años ,
RVR1995	Génesis	1	15	y sean por lumbreras en el firmamento celeste para alumbrar sobre la tierra. » Y fue así .
RVR1995	Génesis	1	16	E hizo Dios las dos grandes lumbreras : la lumbrera mayor para que señoreara en el día , y la lumbrera menor para que señoreara en la noche ; e hizo también las estrellas .
RVR1995	Génesis	1	17	Las puso Dios en el firmamento de los cielos para alumbrar sobre la tierra ,
RVR1995	Génesis	1	18	señorear en el día y en la noche y para separar la luz de las tinieblas . Y vio Dios que era bueno .
RVR1995	Génesis	1	19	Y fue la tarde y la mañana del cuarto día .
RVR1995	Génesis	1	20	Dijo Dios : « Produzcan las aguas seres vivientes , y aves que vuelen sobre la tierra , en el firmamento de los cielos. »
RVR1995	Génesis	1	21	Y creó Dios los grandes monstruos marinos y todo ser viviente que se mueve , que las aguas produjeron según su especie , y toda ave alada según su especie . Y vio Dios que era bueno .
RVR1995	Génesis	1	22	Y los bendijo Dios , diciendo : « Fructificad y multiplicaos , llenad las aguas en los mares y multiplíquense las aves en la tierra. »
RVR1995	Génesis	1	23	Y fue la tarde y la mañana del quinto día .
RVR1995	Génesis	1	24	Luego dijo Dios : « Produzca la tierra seres vivientes según su especie : bestias , serpientes y animales de la tierra según su especie. » Y fue así .
RVR1995	Génesis	1	25	E hizo Dios los animales de la tierra según su especie , ganado según su especie y todo animal que se arrastra sobre la tierra según su especie . Y vio Dios que era bueno .
RVR1995	Génesis	1	26	Entonces dijo Dios : « Hagamos al hombre a nuestra imagen , conforme a nuestra semejanza ; y tenga potestad sobre los peces del mar , las aves de los cielos y las bestias , sobre toda la tierra y sobre todo animal que se arrastra sobre la tierra. »
RVR1995	Génesis	1	27	Y creó Dios al hombre a su imagen , a imagen de Dios lo creó ; varón y hembra los creó .
RVR1995	Génesis	1	28	Los bendijo Dios y les dijo : « Fructificad y multiplicaos ; llenad la tierra y sometedla ; ejerced potestad sobre los peces del mar , las aves de los cielos y todas las bestias que se mueven sobre la tierra. »
RVR1995	Génesis	1	29	Después dijo Dios : « Mirad , os he dado toda planta que da semilla , que está sobre toda la tierra , así como todo árbol en que hay fruto y da semilla . De todo esto podréis comer .
RVR1995	Génesis	1	30	» Pero a toda bestia de la tierra , a todas las aves de los cielos y a todo lo que tiene vida y se arrastra sobre la tierra , les doy toda planta verde para comer. » Y fue así .
RVR1995	Génesis	1	31	Y vio Dios todo cuanto había hecho , y era bueno en gran manera . Y fue la tarde y la mañana del sexto día .
