estilo	livro	capitulo	versiculo	texto
SRV-BRG	Génesis	1	1	EN el principio crió Dios los cielos y la tierra .
SRV-BRG	Génesis	1	2	Y la tierra estaba desordenada y vacía , y las tinieblas estaban sobre la haz del abismo , y el Espíritu de Dios se movía sobre la haz de las aguas .
SRV-BRG	Génesis	1	3	Y dijo Dios : Sea la luz : y fué la luz .
SRV-BRG	Génesis	1	4	Y vió Dios que la luz era buena : y apartó Dios la luz de las tinieblas .
SRV-BRG	Génesis	1	5	Y llamó Dios á la luz Día , y á las tinieblas llamó Noche : y fué la tarde y la mañana un día .
SRV-BRG	Génesis	1	6	Y dijo Dios : Haya expansión en medio de las aguas , y separe las aguas de las aguas .
SRV-BRG	Génesis	1	7	E hizo Dios la expansión , y apartó las aguas que estaban debajo de la expansión , de las aguas que estaban sobre la expansión : y fué así .
SRV-BRG	Génesis	1	8	Y llamó Dios á la expansión Cielos : y fué la tarde y la mañana el día segundo .
SRV-BRG	Génesis	1	9	Y dijo Dios : Júntense las aguas que están debajo de los cielos en un lugar , y descúbrase la seca : y fué así .
SRV-BRG	Génesis	1	10	Y llamó Dios á la seca Tierra , y á la reunión de las aguas llamó Mares : y vió Dios que era bueno .
SRV-BRG	Génesis	1	11	Y dijo Dios : Produzca la tierra hierba verde , hierba que dé simiente ; árbol de fruto que dé fruto según su género , que su simiente esté en él , sobre la tierra : y fué así .
SRV-BRG	Génesis	1	12	Y produjo la tierra hierba verde , hierba que da simiente según su naturaleza , y árbol que da fruto , cuya simiente está en él , según su género : y vió Dios que era bueno .
SRV-BRG	Génesis	1	13	Y fué la tarde y la mañana el día tercero .
SRV-BRG	Génesis	1	14	Y dijo Dios : Sean lumbreras en la expansión de los cielos para apartar el día y la noche : y sean por señales , y para las estaciones , y para días y años ;
SRV-BRG	Génesis	1	15	Y sean por lumbreras en la expansión de los cielos para alumbrar sobre la tierra : y fué así .
SRV-BRG	Génesis	1	16	E hizo Dios las dos grandes lumbreras ; la lumbrera mayor para que señorease en el día , y la lumbrera menor para que señorease en la noche : hizo también las estrellas .
SRV-BRG	Génesis	1	17	Y púsolas Dios en la expansión de los cielos , para alumbrar sobre la tierra ,
SRV-BRG	Génesis	1	18	Y para señorear en el día y en la noche , y para apartar la luz y las tinieblas : y vió Dios que era bueno .
SRV-BRG	Génesis	1	19	Y fué la tarde y la mañana el día cuarto .
SRV-BRG	Génesis	1	20	Y dijo Dios : Produzcan las aguas reptil de ánima viviente , y aves que vuelen sobre la tierra , en la abierta expansión de los cielos .
SRV-BRG	Génesis	1	21	Y crió Dios las grandes ballenas , y toda cosa viva que anda arrastrando , que las aguas produjeron según su género , y toda ave alada según su especie : y vió Dios que era bueno .
SRV-BRG	Génesis	1	22	Y Dios los bendijo diciendo : Fructificad y multiplicad , y henchid las aguas en los mares , y las aves se multipliquen en la tierra .
SRV-BRG	Génesis	1	23	Y fué la tarde y la mañana el día quinto .
SRV-BRG	Génesis	1	24	Y dijo Dios : Produzca la tierra seres vivientes según su género , bestias y serpientes y animales de la tierra según su especie : y fué así .
SRV-BRG	Génesis	1	25	E hizo Dios animales de la tierra según su género , y ganado según su género , y todo animal que anda arrastrando sobre la tierra según su especie : y vió Dios que era bueno .
SRV-BRG	Génesis	1	26	Y dijo Dios : Hagamos al hombre á nuestra imagen , conforme á nuestra semejanza ; y señoree en los peces de la mar , y en las aves de los cielos , y en las bestias , y en toda la tierra , y en todo animal que anda arrastrando sobre la tierra .
SRV-BRG	Génesis	1	27	Y crió Dios al hombre á su imagen , á imagen de Dios lo crió ; varón y hembra los crió .
SRV-BRG	Génesis	1	28	Y los bendijo Dios ; y díjoles Dios : Fructificad y multiplicad , y henchid la tierra , y sojuzgadla , y señoread en los peces de la mar , y en las aves de los cielos , y en todas las bestias que se mueven sobre la tierra .
SRV-BRG	Génesis	1	29	Y dijo Dios : He aquí que os he dado toda hierba que da simiente , que está sobre la haz de toda la tierra ; y todo árbol en que hay fruto de árbol que da simiente , seros ha para comer .
SRV-BRG	Génesis	1	30	Y á toda bestia de la tierra , y á todas las aves de los cielos , y á todo lo que se mueve sobre la tierra , en que hay vida , toda hierba verde les será para comer : y fué así .
SRV-BRG	Génesis	1	31	Y vió Dios todo lo que había hecho , y he aquí que era bueno en gran manera . Y fué la tarde y la mañana el día sexto . Spanish Blue Red and Gold Letter Edition ( SRV-BRG ) Blue Red and Gold Letter Edition™ Copyright © 2012/2015 BRG Bible Ministries . Used by Permission . All rights reserved . BRG Bible is a Registered Trademark in U.S . Patent and Trademark Office #
SRV-BRG	Génesis	1	4145648	""
SRV-BRG	Génesis	2	2	Y acabó Dios en el día séptimo su obra que hizo , y reposó el día séptimo de toda su obra que había hecho .
SRV-BRG	Génesis	2	3	Y bendijo Dios al día séptimo , y santificólo , porque en él reposó de toda su obra que había Dios criado y hecho .
SRV-BRG	Génesis	2	4	Estos son los orígenes de los cielos y de la tierra cuando fueron criados , el día que Jehová Dios hizo la tierra y los cielos ,
SRV-BRG	Génesis	2	5	Y toda planta del campo antes que fuese en la tierra , y toda hierba del campo antes que naciese : porque aun no había Jehová Dios hecho llover sobre la tierra , ni había hombre para que labrase la tierra ;
SRV-BRG	Génesis	2	6	Mas subía de la tierra un vapor , que regaba toda la faz de la tierra .
