estilo	livro	capitulo	versiculo	texto
TLA	Mateo	1	1	Jesús era descendiente de David y de Abraham . Ésta es la lista de todos sus familiares que vivieron antes de él :
TLA	Mateo	1	2	Desde Abraham hasta David fueron : Abraham , Isaac , Jacob , Judá y sus hermanos ,
TLA	Mateo	1	3	Fares y Zérah ( su madre fue Tamar ) , Hesrón , Aram ,
TLA	Mateo	1	4	Aminadab , Nahasón , Salmón ,
TLA	Mateo	1	5	Booz ( su madre fue Rahab ) , Obed ( su madre fue Rut ) , Isaí ,
TLA	Mateo	1	6	el rey David . Desde David hasta el tiempo en que los judíos fueron llevados como prisioneros a Babilonia , sus antepasados fueron : David , Salomón ( su madre había sido esposa de Urías ) ,
TLA	Mateo	1	7	Roboam , Abías , Asá ,
TLA	Mateo	1	8	Josafat , Joram , Ozías ,
TLA	Mateo	1	9	Jotam , Acaz , Ezequías ,
TLA	Mateo	1	10	Manasés , Amón , Josías ,
TLA	Mateo	1	11	Joaquín y sus hermanos .
TLA	Mateo	1	12	Desde el tiempo en que los judíos fueron llevados a Babilonia hasta el nacimiento de Jesús , sus antepasados fueron : Joaquín , Salatiel , Zorobabel ,
TLA	Mateo	1	13	Abihud , Eliaquim , Azor ,
TLA	Mateo	1	14	Sadoc , Aquim , Eliud ,
TLA	Mateo	1	15	Eleazar , Matán , Jacob ,
TLA	Mateo	1	16	José , el esposo de María , la madre de Jesús , conocido como el Mesías .
TLA	Mateo	1	17	Desde Abraham hasta David , hubo catorce generaciones . Desde David hasta que los judíos fueron llevados prisioneros a Babilonia también hubo catorce generaciones , y otras catorce desde ese momento hasta el nacimiento del Mesías . El nacimiento de Jesús 18-20 Así fue como nació Jesús , el Mesías : su madre , María estaba comprometida para casarse con José . Pero antes de que vivieran juntos , se supo que ella estaba embarazada . José era un hombre bueno y obediente a la ley de Dios . Como no quería acusar a María delante de todo el pueblo , decidió romper en secreto el compromiso . Mientras pensaba en todo esto , un ángel de Dios se le apareció en un sueño y le dijo : « José , no tengas miedo de casarte con María . El Espíritu Santo fue quien hizo que ella quedara embarazada .
