estilo	livro	capitulo	versiculo	texto
TLA	Génesis	1	1	Cuando Dios comenzó a crear el cielo y la tierra ,
TLA	Génesis	1	2	la tierra no tenía forma , ni había en ella nada que tuviera vida . Las aguas estaban cubiertas por una gran oscuridad , pero sobre la superficie del agua se movía el espíritu de Dios . El primer día de la creación
TLA	Génesis	1	3	Dijo entonces Dios : « ¡Quiero que haya luz ! » ¡Y al instante hubo luz !
TLA	Génesis	1	4	,
TLA	Génesis	1	5	y le puso por nombre « día » . A la oscuridad la llamó « noche » . Y cayó la noche , y llegó la mañana . Ése fue el primer día . El segundo día de la creación
TLA	Génesis	1	6	Dijo entonces Dios : « Quiero que haya entre las aguas algo firme que las separe » .
TLA	Génesis	1	7	¡Y al instante se hizo así ! Dios puso algo firme entre las aguas , y la mitad de las aguas quedó abajo y la otra mitad quedó arriba .
TLA	Génesis	1	8	Al ver la belleza del firmamento , [ a ] Dios le puso por nombre « cielo » . Y cayó la noche , y llegó la mañana . Ése fue el segundo día . El tercer día de la creación
TLA	Génesis	1	9	Dijo entonces Dios : « Quiero que las aguas que están debajo del cielo se junten en un solo lugar , y que aparezca lo seco » . ¡Y al instante se hizo así !
TLA	Génesis	1	10	Dios llamó « tierra » a lo seco , y llamó « mar » a las aguas .
TLA	Génesis	1	11	,
TLA	Génesis	1	12	,
TLA	Génesis	1	13	cayó la noche , y llegó la mañana . Ése fue el tercer día . El cuarto día de la creación
TLA	Génesis	1	14	Dijo entonces Dios : « Quiero que haya en el cielo luces que separen el día de la noche ; luces que indiquen las estaciones , los días y los años ;
TLA	Génesis	1	15	luces en el cielo azul que iluminen la tierra » . ¡Y al instante se hizo así !
TLA	Génesis	1	16	Dios hizo las dos grandes luces : el sol , para que domine en el día , y la luna , para que domine en la noche . También hizo las estrellas .
TLA	Génesis	1	17	Dios puso estas luces en el cielo para alumbrar la tierra ,
TLA	Génesis	1	18	,
TLA	Génesis	1	19	cayó la noche , y llegó la mañana . Ése fue el cuarto día . El quinto día de la creación
TLA	Génesis	1	20	Dijo entonces Dios : « Quiero que los mares se llenen con seres vivos . Quiero que las aves vuelen sobre la tierra y crucen el cielo azul » .
TLA	Génesis	1	21	,
TLA	Génesis	1	22	les dio esta bendición : « Quiero que los peces se reproduzcan y llenen los mares ; quiero que las aves se multipliquen sobre la tierra » .
TLA	Génesis	1	23	Y cayó la noche , y llegó la mañana . Ése fue el quinto día . El sexto día de la creación
TLA	Génesis	1	24	Dijo entonces Dios : « Quiero que haya en la tierra toda clase de seres vivos : animales domésticos , animales salvajes , reptiles e insectos » . ¡Y al instante se hizo así !
TLA	Génesis	1	25	Dios hizo los animales salvajes , los animales domésticos , los reptiles y los insectos .
TLA	Génesis	1	26	Al ver Dios tal belleza , dijo : « Hagamos ahora al ser humano tal y como somos nosotros . Que domine a los peces del mar y a las aves del cielo , a todos los animales de la tierra , y a todos los reptiles e insectos » .
TLA	Génesis	1	27	Fue así como Dios creó al ser humano tal y como es Dios . Lo creó a su semejanza . Creó al hombre y a la mujer ,
TLA	Génesis	1	28	y les dio esta bendición : « Quiero que se reproduzcan , quiero que se multipliquen , quiero que llenen la tierra y la pongan bajo su dominio . Que dominen a los peces del mar y a las aves del cielo , y a todos los seres vivos que se arrastran por el suelo » .
TLA	Génesis	1	29	También les dijo Dios : « Hoy les entrego a ustedes toda planta que da semilla y todo árbol que da fruto . Todo esto les servirá de alimento .
TLA	Génesis	1	30	Pero la hierba verde será para todos los animales » . ¡Y al instante se hizo así !
TLA	Génesis	1	31	) y con la antigua versión griega conocida como Septuaginta . No aparece en el texto hebreo .
TLA	Génesis	2	2	1-3 Así terminó Dios la creación del cielo y de la tierra y de todo cuanto existe , y el séptimo día descansó . Dios bendijo ese día y lo apartó , para que todos lo adoraran . El hombre y la mujer
TLA	Génesis	2	4	Ésta es la historia de cuando Dios creó el cielo y la tierra . En ese tiempo
TLA	Génesis	2	5	aún no había árboles ni plantas en el campo , porque Dios todavía no había hecho que lloviera , ni había nadie que cultivara la tierra .
TLA	Génesis	2	6	Del suelo salía una especie de vapor , y eso era lo que mantenía húmeda la tierra .
TLA	Génesis	2	7	Entonces Dios tomó un poco de polvo , y con ese polvo formó al hombre . Luego sopló en su nariz , y con su propio aliento le dio vida . Así fue como el hombre comenzó a vivir .
TLA	Génesis	2	8	Dios había plantado un jardín al cual llamó Edén , y allí puso al hombre .
TLA	Génesis	2	9	Luego Dios hizo que creciera allí toda clase de árboles ; eran hermosos y daban fruta muy sabrosa . En medio de ese jardín estaba el árbol de la vida , y también el árbol del conocimiento del bien y del mal .
TLA	Génesis	2	10	De Edén salía un río que regaba el jardín y luego se dividía en otros cuatro ríos .
TLA	Génesis	2	11	El primer río se llamaba Pisón , y es el que rodea todo el país de Havilá . Allí hay oro
TLA	Génesis	2	12	muy fino , y hay también piedra de ónice y plantas con las que se hacen finos perfumes .
TLA	Génesis	2	13	El segundo río se llamaba Guihón , y es el que rodea todo el país de los etíopes .
TLA	Génesis	2	14	El tercer río es el Tigris , que corre al este de Asiria . El cuarto río es el Éufrates .
TLA	Génesis	2	15	Dios puso al hombre en el jardín de Edén para que lo cultivara y lo cuidara ,
TLA	Génesis	2	16	pero claramente le dijo : « Puedes comer de todos los árboles que hay en el jardín ,
TLA	Génesis	2	17	pero no del árbol del conocimiento del bien y del mal . Si comes de ese árbol , te juro que morirás » .
TLA	Génesis	2	18	Luego Dios dijo : « No está bien que el hombre esté solo . Voy a hacerle alguien que lo acompañe y lo ayude » . 19-20 Entonces hizo Dios todos los animales domésticos y salvajes , y todas las aves que vuelan por el cielo , y se los llevó al hombre para que les pusiera nombre . Y éste así lo hizo . Sin embargo , para el hombre no se encontró compañía ni ayuda .
TLA	Génesis	2	21	Por eso Dios hizo que el hombre se quedara profundamente dormido . Y así , mientras éste dormía , Dios le sacó una de sus costillas , y luego le cerró el costado .
TLA	Génesis	2	22	De esa costilla Dios hizo una mujer . Cuando se la llevó al hombre ,
TLA	Génesis	2	23	éste dijo : « ¡Esta vez tengo a alguien que es carne de mi carne y hueso de mis huesos ! La llamaré hembra , porque Dios la sacó del hombre » . [ a ]
TLA	Génesis	2	24	Esto explica por qué el hombre deja a su padre y a su madre , y se une a su mujer para formar un solo cuerpo .
TLA	Génesis	2	25	Tanto el hombre como su mujer andaban desnudos , pero no sentían vergüenza de andar así . Footnotes - Génesis 2:23 Hembra ... hombre . Aunque la palabra hembra resulta ofensiva en algunas regiones , se ha usado aquí con la intención de reproducir el juego de palabras en el texto hebreo , entre las palabras ishah , mujer e ish , hombre .
TLA	Génesis	3	3	Lo que Dios nos dijo fue : “ En medio del jardín hay un árbol , que no deben ni tocarlo . Tampoco vayan a comer de su fruto , pues si lo hacen morirán ” . Pero la serpiente insistió :
TLA	Génesis	3	2	La mujer le contestó : —¡Sí podemos comer de cualquier árbol del jardín !
TLA	Génesis	3	4	—Eso es mentira . No morirán .
TLA	Génesis	3	5	Dios bien sabe que , cuando ustedes coman del fruto de ese árbol , serán iguales a Dios y podrán conocer el bien y el mal .
TLA	Génesis	3	6	La mujer se fijó en que el fruto del árbol sí se podía comer , y que sólo de verlo se antojaba y daban ganas de alcanzar sabiduría . Arrancó entonces uno de los frutos , y comió . Luego le dio a su esposo , que estaba allí con ella , y también él comió .
TLA	Génesis	3	7	En ese mismo instante se dieron cuenta de lo que habían hecho y de que estaban desnudos . Entonces tomaron unas hojas de higuera y las cosieron para cubrirse con ellas .
TLA	Génesis	3	8	Con el viento de la tarde , el hombre y su esposa oyeron que Dios iba y venía por el jardín , así que corrieron a esconderse de él entre los árboles .
TLA	Génesis	3	9	Pero Dios llamó al hombre y le preguntó : —¿Dónde estás ?
TLA	Génesis	3	10	Y el hombre le contestó : —Oí tu voz en el jardín y tuve miedo , pues estoy desnudo . Por eso corrí a esconderme .
TLA	Génesis	3	11	—¿Y cómo sabes que estás desnudo ? —le preguntó Dios— . ¿Acaso comiste del fruto del árbol que te prohibí comer ?
TLA	Génesis	3	12	El hombre respondió : —La mujer que tú me diste por compañera me dio del fruto del árbol . Por eso me lo comí .
TLA	Génesis	3	13	Dios se dirigió entonces a la mujer , y le dijo : —¿Qué es lo que has hecho ? Y la mujer le respondió : —La serpiente me tendió una trampa . Por eso comí del fruto .
TLA	Génesis	3	14	Entonces Dios le dijo a la serpiente : « Por esto que has hecho , maldita seas , más que todo animal doméstico ; ¡más que todo animal salvaje ! Mientras tengas vida , te arrastrarás sobre tu vientre y comerás el polvo de la tierra .
TLA	Génesis	3	15	» Haré que tú y la mujer , sean enemigas ; pondré enemistad entre sus descendientes y los tuyos . Un hijo suyo te aplastará la cabeza , y tú le morderás el talón » .
TLA	Génesis	3	16	A la mujer le dijo : « Cuando tengas tus hijos , ¡haré que los tengas con muchos dolores ! A pesar de todo , desearás tener hijos con tu esposo , y él será quien te domine » .
TLA	Génesis	3	17	Al hombre le dijo : « Ahora por tu culpa la tierra estará bajo maldición , pues le hiciste caso a tu esposa y comiste del árbol del que te prohibí comer . Por eso , mientras tengas vida , te costará mucho trabajo obtener de la tierra tu alimento .
TLA	Génesis	3	18	Sólo te dará espinos que te hieran , y la hierba del campo será tu alimento .
TLA	Génesis	3	19	» Muy duro tendrás que trabajar para conseguir tus alimentos . Así será hasta el día en que mueras , y vuelvas al polvo de la tierra , del cual fuiste tomado . Tú no eres más que polvo , ¡y al polvo tendrás que volver ! »
TLA	Génesis	3	20	Entonces el hombre le puso a su esposa el nombre de Eva , [ a ] porque ella sería la madre de todos los que iban a vivir en la tierra .
TLA	Génesis	3	21	Luego Dios vistió al hombre y a su esposa con ropas de piel ,
TLA	Génesis	3	22	y dijo : « Ahora el hombre y la mujer son como uno de nosotros , pues conocen el bien y el mal . Si llegaran a comer algún fruto del árbol de la vida , podrían vivir para siempre » .
TLA	Génesis	3	23	Por eso Dios los expulsó del jardín de Edén , y puso al hombre a cultivar la tierra de donde había sido formado .
TLA	Génesis	3	24	Después de expulsar al hombre y a la mujer , Dios puso unos querubines al este del Edén , y también puso una espada encendida que giraba hacia todos lados , para impedir que alguien se acercara al árbol de la vida . Footnotes - Génesis 3:20 El nombre Eva tiene un sonido parecido a la palabra hebrea que significa vida .
TLA	Génesis	4	4	Por su parte Abel escogió las primeras crías más gordas de sus ovejas , y se las llevó a Dios como ofrenda . Dios recibió con mucho agrado la ofrenda de Abel ,
TLA	Génesis	4	2	Después volvió a tener otro hijo , que se llamó Abel . Caín se dedicó a cultivar la tierra , mientras que Abel fue pastor de ovejas .
TLA	Génesis	4	3	Pasó el tiempo , y un día Caín le presentó a Dios una ofrenda de los frutos que cultivaba .
TLA	Génesis	4	5	pero no recibió con el mismo gusto la ofrenda de Caín . Esto le molestó mucho a Caín , y en su cara se le veía lo enojado que estaba .
TLA	Génesis	4	6	Entonces Dios le preguntó a Caín : « ¿Por qué estás tan triste y enojado ?
TLA	Génesis	4	7	Si haces lo correcto , siempre te aceptaré con agrado , pero si haces lo malo , el pecado está listo para atacarte como un león . ¡No te dejes dominar por él ! »
TLA	Génesis	4	8	Un día , Caín invitó a su hermano . Cuando llegaron al campo , Caín golpeó a su hermano y lo mató .
TLA	Génesis	4	9	Más tarde , Dios le preguntó a Caín : —¿Dónde está tu hermano ? Y Caín le respondió : —No lo sé . ¡No tengo por qué cuidarlo !
TLA	Génesis	4	10	Entonces Dios le dijo : —¿Por qué has matado a tu hermano ? ¡Desde la tierra la sangre de tu hermano pide venganza ! ¡Esto no puede dejarse sin castigo ! 11-12 Maldito serás , y la tierra que cultives no te producirá nada , pues has matado a tu hermano y esa misma tierra se bebió su sangre . Por eso andarás por la tierra como un vagabundo , que no tiene donde vivir .
TLA	Génesis	4	13	Entonces Caín le dijo a Dios : —Ese castigo es más de lo que puedo soportar .
TLA	Génesis	4	14	Hoy me estás condenando a vivir en la tierra como un vagabundo . Tendré que andar escondiéndome de ti , y cualquiera que me encuentre me matará .
TLA	Génesis	4	15	Pero Dios le respondió : —De ninguna manera . Si alguien se atreve a matarte , sufrirá un castigo siete veces peor . Entonces Dios le puso a Caín una marca , para que nadie se atreviera a matarlo .
TLA	Génesis	4	16	Así fue como Caín se apartó de la presencia de Dios y se fue a vivir al país de los vagabundos , al este del Edén .
TLA	Génesis	4	17	Caín tuvo relaciones sexuales con su esposa , y ella quedó embarazada y tuvo un hijo al que llamó Henoc . En ese tiempo Caín estaba construyendo una ciudad , y en honor de su hijo también la llamó Henoc .
TLA	Génesis	4	18	Ésta es la lista de los descendientes de Caín : Henoc , Irad , Mehujael , Metusael , Lámec .
TLA	Génesis	4	19	Lámec tuvo dos esposas . Una de ellas se llamaba Adá , y la otra se llamaba Sila .
TLA	Génesis	4	20	Adá fue la madre de Jabal , que fue el primero en habitar en tiendas de campaña y en dedicarse a la cría de ganado .
TLA	Génesis	4	21	Jabal tuvo un hermano llamado Jubal , que fue quien inventó el arpa y la flauta .
TLA	Génesis	4	22	Sila tuvo también un hijo . Se llamaba Tubal-caín , y se dedicaba a fabricar toda clase de herramientas de bronce y de hierro . Su hermana se llamaba Naamá .
TLA	Génesis	4	23	Un día , Lámec les dijo a sus dos esposas : « Adá y Sila , esposas mías : ¡escúchenme , préstenme atención ! Si alguien me hiere , o me hace algún daño , sea niño o sea hombre , lo mataré .
TLA	Génesis	4	24	Si el que hiera a Caín será castigado siete veces , el que me hiera a mí será castigado setenta y siete veces » .
TLA	Génesis	4	25	Adán [ b ] volvió a tener relaciones sexuales con su esposa , y ella tuvo un hijo , al cual le puso por nombre Set , pues dijo : « Dios me concedió [ c ] otro hijo en lugar de Abel , a quien mató Caín. »
TLA	Génesis	4	26	También Set tuvo un hijo , y le puso por nombre Enós . A partir de entonces se comenzó a adorar a Dios usando su nombre . [ d ] Footnotes - Génesis 4:1 He tenido . El nombre Caín tiene un sonido parecido a la palabra hebrea que significa he tenido . - Génesis 4:25 Adán . A partir de este versículo , la palabra hebrea hasta ahora traducida como hombre o ser humano se usa también como nombre propio . - Génesis 4:25 Me concedió . El nombre Set tiene un sonido parecido a la palabra hebrea que significa me concedió . - Génesis 4:26 Su nombre , es decir , Yahveh .
TLA	Génesis	5	5	Así que Adán murió cuando tenía novecientos treinta años .
TLA	Génesis	5	6	Set tenía ciento cinco años cuando nació su hijo Enós .
TLA	Génesis	5	7	También tuvo más hijos y más hijas . Después de que nació Enós , Set vivió ochocientos siete años más .
TLA	Génesis	5	8	Así que Set murió cuando tenía novecientos doce años .
TLA	Génesis	5	9	Enós tenía noventa años cuando nació su hijo Cainán .
TLA	Génesis	5	10	También tuvo más hijos y más hijas . Después de que nació Cainán , Enós vivió ochocientos quince años más .
TLA	Génesis	5	11	Así que Enós murió cuando tenía novecientos cinco años .
TLA	Génesis	5	12	Cainán tenía setenta años cuando nació su hijo Mahalalel .
TLA	Génesis	5	13	También tuvo más hijos y más hijas . Después de que nació Mahalalel , Cainán vivió ochocientos cuarenta años más .
TLA	Génesis	5	14	Así que Cainán murió cuando tenía novecientos diez años .
TLA	Génesis	5	15	Mahalalel tenía sesenta y cinco años cuando nació su hijo Jéred .
TLA	Génesis	5	16	También tuvo más hijos y más hijas . Después de que nació Jéred , Mahalalel vivió ochocientos treinta años más .
TLA	Génesis	5	17	Así que Mahalalel murió cuando tenía ochocientos noventa y cinco años .
TLA	Génesis	5	18	Jéred tenía ciento sesenta y dos años cuando nació su hijo Henoc .
TLA	Génesis	5	19	También tuvo más hijos y más hijas . Después de que nació Henoc , Jéred vivió ochocientos años más .
TLA	Génesis	5	20	Así que Jéred murió cuando tenía novecientos sesenta y dos años .
TLA	Génesis	5	21	Henoc tenía sesenta y cinco años cuando nació su hijo Matusalén . 22-24 También tuvo más hijos y más hijas . Después de que nació Matusalén , Henoc vivió trescientos años más . Como obedecía a Dios en todo , ya no volvió a saberse de él porque Dios se lo llevó . Así que Henoc vivió trescientos sesenta y cinco años .
TLA	Génesis	5	25	Matusalén tenía ciento ochenta y siete años cuando nació su hijo Lámec .
TLA	Génesis	5	26	También tuvo más hijos y más hijas . Después de que nació Lámec , Matusalén vivió setecientos ochenta y dos años más .
TLA	Génesis	5	27	Así que Matusalén murió cuando tenía novecientos sesenta y nueve años .
TLA	Génesis	5	28	Lámec tenía ciento ochenta y dos años cuando tuvo un hijo ,
