estilo	livro	capitulo	versiculo	texto
LSG	Genèse	1	1	Au commencement , Dieu créa les cieux et la terre .
LSG	Genèse	1	2	La terre était informe et vide : il y avait des ténèbres à la surface de l&apos; abîme , et l&apos; esprit de Dieu se mouvait au-dessus des eaux .
LSG	Genèse	1	3	Dieu dit : Que la lumière soit ! Et la lumière fut .
LSG	Genèse	1	4	Dieu vit que la lumière était bonne ; et Dieu sépara la lumière d&apos; avec les ténèbres .
LSG	Genèse	1	5	Dieu appela la lumière jour , et il appela les ténèbres nuit . Ainsi , il y eut un soir , et il y eut un matin : ce fut le premier jour .
LSG	Genèse	1	6	Dieu dit : Qu&apos; il y ait une étendue entre les eaux , et qu&apos; elle sépare les eaux d&apos; avec les eaux .
LSG	Genèse	1	7	Et Dieu fit l&apos; étendue , et il sépara les eaux qui sont au-dessous de l&apos; étendue d&apos; avec les eaux qui sont au-dessus de l&apos; étendue . Et cela fut ainsi .
LSG	Genèse	1	8	Dieu appela l&apos; étendue ciel . Ainsi , il y eut un soir , et il y eut un matin : ce fut le second jour .
LSG	Genèse	1	9	Dieu dit : Que les eaux qui sont au-dessous du ciel se rassemblent en un seul lieu , et que le sec paraisse . Et cela fut ainsi .
LSG	Genèse	1	10	Dieu appela le sec terre , et il appela l&apos; amas des eaux mers . Dieu vit que cela était bon .
LSG	Genèse	1	11	Puis Dieu dit : Que la terre produise de la verdure , de l&apos; herbe portant de la semence , des arbres fruitiers donnant du fruit selon leur espèce et ayant en eux leur semence sur la terre . Et cela fut ainsi .
LSG	Genèse	1	12	La terre produisit de la verdure , de l&apos; herbe portant de la semence selon son espèce , et des arbres donnant du fruit et ayant en eux leur semence selon leur espèce . Dieu vit que cela était bon .
LSG	Genèse	1	13	Ainsi , il y eut un soir , et il y eut un matin : ce fut le troisième jour .
LSG	Genèse	1	14	Dieu dit : Qu&apos; il y ait des luminaires dans l&apos; étendue du ciel , pour séparer le jour d&apos; avec la nuit ; que ce soient des signes pour marquer les époques , les jours et les années ;
LSG	Genèse	1	15	et qu&apos; ils servent de luminaires dans l&apos; étendue du ciel , pour éclairer la terre . Et cela fut ainsi .
LSG	Genèse	1	16	Dieu fit les deux grands luminaires , le plus grand luminaire pour présider au jour , et le plus petit luminaire pour présider à la nuit ; il fit aussi les étoiles .
LSG	Genèse	1	17	Dieu les plaça dans l&apos; étendue du ciel , pour éclairer la terre ,
LSG	Genèse	1	18	pour présider au jour et à la nuit , et pour séparer la lumière d&apos; avec les ténèbres . Dieu vit que cela était bon .
LSG	Genèse	1	19	Ainsi , il y eut un soir , et il y eut un matin : ce fut le quatrième jour .
LSG	Genèse	1	20	Dieu dit : Que les eaux produisent en abondance des animaux vivants , et que des oiseaux volent sur la terre vers l&apos; étendue du ciel .
LSG	Genèse	1	21	Dieu créa les grands poissons et tous les animaux vivants qui se meuvent , et que les eaux produisirent en abondance selon leur espèce ; il créa aussi tout oiseau ailé selon son espèce . Dieu vit que cela était bon .
LSG	Genèse	1	22	Dieu les bénit , en disant : Soyez féconds , multipliez , et remplissez les eaux des mers ; et que les oiseaux multiplient sur la terre .
LSG	Genèse	1	23	Ainsi , il y eut un soir , et il y eut un matin : ce fut le cinquième jour .
LSG	Genèse	1	24	Dieu dit : Que la terre produise des animaux vivants selon leur espèce , du bétail , des reptiles et des animaux terrestres , selon leur espèce . Et cela fut ainsi .
LSG	Genèse	1	25	Dieu fit les animaux de la terre selon leur espèce , le bétail selon son espèce , et tous les reptiles de la terre selon leur espèce . Dieu vit que cela était bon .
LSG	Genèse	1	26	Puis Dieu dit : Faisons l&apos; homme à notre image , selon notre ressemblance , et qu&apos; il domine sur les poissons de la mer , sur les oiseaux du ciel , sur le bétail , sur toute la terre , et sur tous les reptiles qui rampent sur la terre .
LSG	Genèse	1	27	Dieu créa l&apos; homme à son image , il le créa à l&apos; image de Dieu , il créa l&apos; homme et la femme .
LSG	Genèse	1	28	Dieu les bénit , et Dieu leur dit : Soyez féconds , multipliez , remplissez la terre , et l&apos; assujettissez ; et dominez sur les poissons de la mer , sur les oiseaux du ciel , et sur tout animal qui se meut sur la terre .
LSG	Genèse	1	29	Et Dieu dit : Voici , je vous donne toute herbe portant de la semence et qui est à la surface de toute la terre , et tout arbre ayant en lui du fruit d&apos; arbre et portant de la semence : ce sera votre nourriture .
LSG	Genèse	1	30	Et à tout animal de la terre , à tout oiseau du ciel , et à tout ce qui se meut sur la terre , ayant en soi un souffle de vie , je donne toute herbe verte pour nourriture . Et cela fut ainsi .
LSG	Genèse	1	31	Dieu vit tout ce qu&apos; il avait fait et voici , cela était très bon . Ainsi , il y eut un soir , et il y eut un matin : ce fut le sixième jour .
LSG	Genèse	2	2	Dieu acheva au septième jour son oeuvre , qu&apos; il avait faite : et il se reposa au septième jour de toute son oeuvre , qu&apos; il avait faite .
LSG	Genèse	2	3	Dieu bénit le septième jour , et il le sanctifia , parce qu&apos; en ce jour il se reposa de toute son oeuvre qu&apos; il avait créée en la faisant .
LSG	Genèse	2	4	Voici les origines des cieux et de la terre , quand ils furent créés .
LSG	Genèse	2	5	Lorsque l&apos; Éternel Dieu fit une terre et des cieux , aucun arbuste des champs n&apos; était encore sur la terre , et aucune herbe des champs ne germait encore : car l&apos; Éternel Dieu n&apos; avait pas fait pleuvoir sur la terre , et il n&apos; y avait point d&apos; homme pour cultiver le sol .
LSG	Genèse	2	6	Mais une vapeur s&apos; éleva de la terre , et arrosa toute la surface du sol .
LSG	Genèse	2	7	L&apos; Éternel Dieu forma l&apos; homme de la poussière de la terre , il souffla dans ses narines un souffle de vie et l&apos; homme devint un être vivant .
LSG	Genèse	2	8	Puis l&apos; Éternel Dieu planta un jardin en Éden , du côté de l&apos; orient , et il y mit l&apos; homme qu&apos; il avait formé .
LSG	Genèse	2	9	L&apos; Éternel Dieu fit pousser du sol des arbres de toute espèce , agréables à voir et bons à manger , et l&apos; arbre de la vie au milieu du jardin , et l&apos; arbre de la connaissance du bien et du mal .
LSG	Genèse	2	10	Un fleuve sortait d&apos; Éden pour arroser le jardin , et de là il se divisait en quatre bras .
LSG	Genèse	2	11	Le nom du premier est Pischon ; c&apos; est celui qui entoure tout le pays de Havila , où se trouve l&apos; or .
LSG	Genèse	2	12	L&apos; or de ce pays est pur ; on y trouve aussi le bdellium et la pierre d&apos; onyx .
LSG	Genèse	2	13	Le nom du second fleuve est Guihon ; c&apos; est celui qui entoure tout le pays de Cusch .
LSG	Genèse	2	14	Le nom du troisième est Hiddékel ; c&apos; est celui qui coule à l&apos; orient de l&apos; Assyrie . Le quatrième fleuve , c&apos; est l&apos; Euphrate .
LSG	Genèse	2	15	L&apos; Éternel Dieu prit l&apos; homme , et le plaça dans le jardin d&apos; Éden pour le cultiver et pour le garder .
LSG	Genèse	2	16	L&apos; Éternel Dieu donna cet ordre à l&apos; homme : Tu pourras manger de tous les arbres du jardin ;
LSG	Genèse	2	17	mais tu ne mangeras pas de l&apos; arbre de la connaissance du bien et du mal , car le jour où tu en mangeras , tu mourras .
LSG	Genèse	2	18	L&apos; Éternel Dieu dit : Il n&apos; est pas bon que l&apos; homme soit seul ; je lui ferai une aide semblable à lui .
LSG	Genèse	2	19	L&apos; Éternel Dieu forma de la terre tous les animaux des champs et tous les oiseaux du ciel , et il les fit venir vers l&apos; homme , pour voir comment il les appellerait , et afin que tout être vivant portât le nom que lui donnerait l&apos; homme .
LSG	Genèse	2	20	Et l&apos; homme donna des noms à tout le bétail , aux oiseaux du ciel et à tous les animaux des champs ; mais , pour l&apos; homme , il ne trouva point d&apos; aide semblable à lui .
LSG	Genèse	2	21	Alors l&apos; Éternel Dieu fit tomber un profond sommeil sur l&apos; homme , qui s&apos; endormit ; il prit une de ses côtes , et referma la chair à sa place .
LSG	Genèse	2	22	L&apos; Éternel Dieu forma une femme de la côte qu&apos; il avait prise de l&apos; homme , et il l&apos; amena vers l&apos; homme .
LSG	Genèse	2	23	Et l&apos; homme dit : Voici cette fois celle qui est os de mes os et chair de ma chair ! on l&apos; appellera femme , parce qu&apos; elle a été prise de l&apos; homme .
LSG	Genèse	2	24	C&apos; est pourquoi l&apos; homme quittera son père et sa mère , et s&apos; attachera à sa femme , et ils deviendront une seule chair .
LSG	Genèse	2	25	L&apos; homme et sa femme étaient tous deux nus , et ils n&apos; en avaient point honte .
