estilo	livro	capitulo	versiculo	texto
NEG1979	Genèse	1	1	:
NEG1979	Genèse	1	9	Dieu dit : Que les eaux qui sont au-dessous du ciel se rassemblent en un seul lieu , et que le sec paraisse . Et cela fut ainsi .
NEG1979	Genèse	1	2	La terre était informe et vide ; il y avait des ténèbres à la surface de l ’ abîme , et l ’ Esprit de Dieu se mouvait au-dessus des eaux .
NEG1979	Genèse	1	3	Dieu dit : Que la lumière soit ! Et la lumière fut .
NEG1979	Genèse	1	4	Dieu vit que la lumière était bonne ; et Dieu sépara la lumière d ’ avec les ténèbres .
NEG1979	Genèse	1	5	Dieu appela la lumière jour , et il appela les ténèbres nuit . Ainsi , il y eut un soir , et il y eut un matin : ce fut le premier jour .
NEG1979	Genèse	1	6	Dieu dit : Qu ’ il y ait une étendue entre les eaux , et qu ’ elle sépare les eaux d ’ avec les eaux .
NEG1979	Genèse	1	7	Et Dieu fit l ’ étendue , et il sépara les eaux qui sont au-dessous de l ’ étendue d ’ avec les eaux qui sont au-dessus de l ’ étendue . Et cela fut ainsi .
NEG1979	Genèse	1	8	Dieu appela l ’ étendue ciel . Ainsi , il y eut un soir , et il y eut un matin : ce fut le second jour .
NEG1979	Genèse	1	10	Dieu appela le sec terre , et il appela l ’ amas des eaux mers . Dieu vit que cela était bon .
NEG1979	Genèse	1	11	Puis Dieu dit : Que la terre produise de la verdure , de l ’ herbe portant de la semence , des arbres fruitiers donnant du fruit selon leur espèce et ayant en eux leur semence sur la terre . Et cela fut ainsi .
NEG1979	Genèse	1	12	La terre produisit de la verdure , de l ’ herbe portant de la semence selon son espèce , et des arbres donnant du fruit et ayant en eux leur semence selon leur espèce . Dieu vit que cela était bon .
NEG1979	Genèse	1	13	Ainsi , il y eut un soir , et il y eut un matin : ce fut le troisième jour .
NEG1979	Genèse	1	14	Dieu dit : Qu ’ il y ait des luminaires dans l ’ étendue du ciel , pour séparer le jour d ’ avec la nuit ; que ce soient des signes pour marquer les époques , les jours et les années ;
NEG1979	Genèse	1	15	et qu ’ ils servent de luminaires dans l ’ étendue du ciel , pour éclairer la terre . Et cela fut ainsi .
NEG1979	Genèse	1	16	Dieu fit les deux grands luminaires , le plus grand luminaire pour présider au jour , et le plus petit luminaire pour présider à la nuit ; il fit aussi les étoiles .
NEG1979	Genèse	1	17	Dieu les plaça dans l ’ étendue du ciel , pour éclairer la terre ,
NEG1979	Genèse	1	18	pour présider au jour et à la nuit , et pour séparer la lumière d ’ avec les ténèbres . Dieu vit que cela était bon .
NEG1979	Genèse	1	19	Ainsi , il y eut un soir , et il y eut un matin : ce fut le quatrième jour .
NEG1979	Genèse	1	20	Dieu dit : Que les eaux produisent en abondance des animaux vivants , et que des oiseaux volent sur la terre vers l ’ étendue du ciel .
NEG1979	Genèse	1	21	Dieu créa les grands poissons et tous les animaux vivants qui se meuvent , et que les eaux produisirent en abondance selon leur espèce ; il créa aussi tout oiseau ailé selon son espèce . Dieu vit que cela était bon .
NEG1979	Genèse	1	22	Dieu les bénit , en disant : Soyez féconds , multipliez , et remplissez les eaux des mers ; et que les oiseaux multiplient sur la terre .
NEG1979	Genèse	1	23	Ainsi , il y eut un soir , et il y eut un matin : ce fut le cinquième jour .
NEG1979	Genèse	1	24	Dieu dit : Que la terre produise des animaux vivants selon leur espèce , du bétail , des reptiles et des animaux terrestres , selon leur espèce . Et cela fut ainsi .
NEG1979	Genèse	1	25	Dieu fit les animaux de la terre selon leur espèce , le bétail selon son espèce , et tous les reptiles de la terre selon leur espèce . Dieu vit que cela était bon . Création de l ’ homme et de la femme
NEG1979	Genèse	1	26	Puis Dieu dit : Faisons l ’ homme à notre image , selon notre ressemblance , et qu ’ il domine sur les poissons de la mer , sur les oiseaux du ciel , sur le bétail , sur toute la terre , et sur tous les reptiles qui rampent sur la terre .
NEG1979	Genèse	1	27	Litt. il les créa mâle et femelle Nouvelle Edition de Genève Copyright ©
NEG1979	Genèse	1	28	Dieu les bénit , et Dieu leur dit : Soyez féconds , multipliez , remplissez la terre , et assujettissez-la ; et dominez sur les poissons de la mer , sur les oiseaux du ciel , et sur tout animal qui se meut sur la terre .
NEG1979	Genèse	1	29	Et Dieu dit : Voici , je vous donne toute herbe portant de la semence et qui est à la surface de toute la terre , et tout arbre ayant en lui du fruit d ’ arbre et portant de la semence : ce sera votre nourriture .
NEG1979	Genèse	1	30	Et à tout animal de la terre , à tout oiseau du ciel , et à tout ce qui se meut sur la terre , ayant en soi un souffle de vie , je donne toute herbe verte pour nourriture . Et cela fut ainsi .
NEG1979	Genèse	1	31	Dieu vit tout ce qu ’ il avait fait et voici , cela était très bon . Ainsi , il y eut un soir , et il y eut un matin : ce fut le sixième jour . Footnotes - Genèse
NEG1979	Genèse	1	1979	by Société Biblique de Genève
NEG1979	Genèse	2	2	:
NEG1979	Genèse	2	3	Dieu bénit le septième jour , et il le sanctifia , parce qu ’ en ce jour il se reposa de toute son œuvre qu ’ il avait créée en la faisant .
NEG1979	Genèse	2	4	- Genèse
NEG1979	Genèse	2	5	:
NEG1979	Genèse	2	6	:
NEG1979	Genèse	2	7	; +
NEG1979	Genèse	2	8	Eden , litt. délices - Genèse
NEG1979	Genèse	2	9	L ’ Eternel Dieu fit pousser du sol des arbres de toute espèce , agréables à voir et bons à manger , et l ’ arbre de la vie au milieu du jardin , et l ’ arbre de la connaissance du bien et du mal .
NEG1979	Genèse	2	10	:
NEG1979	Genèse	2	11	Le nom du premier est Pischon ; c ’ est celui qui entoure tout le pays de Havila , où se trouve l ’ or .
NEG1979	Genèse	2	12	Bdellium , résine aromatique provenant d ’ un arbre d ’ Arabie - Genèse
NEG1979	Genèse	2	13	Cusch , ou Ethiopie - Genèse
NEG1979	Genèse	2	14	Hiddékel , le Tigre - Genèse
NEG1979	Genèse	2	15	:
NEG1979	Genèse	2	16	; + Ep
NEG1979	Genèse	2	17	mais tu ne mangeras pas de l ’ arbre de la connaissance du bien et du mal , car le jour où tu en mangeras , tu mourras certainement .
NEG1979	Genèse	2	18	L ’ Eternel Dieu dit : Il n ’ est pas bon que l ’ homme soit seul ; je lui ferai une aide semblable à lui .
NEG1979	Genèse	2	19	:
NEG1979	Genèse	2	20	Et l ’ homme donna des noms à tout le bétail , aux oiseaux du ciel et à tous les animaux des champs ; mais , pour l ’ homme , il ne trouva point d ’ aide semblable à lui .
NEG1979	Genèse	2	21	Alors l ’ Eternel Dieu fit tomber un profond sommeil sur l ’ homme , qui s ’ endormit ; il prit une de ses côtes , et referma la chair à sa place .
NEG1979	Genèse	2	22	L ’ Eternel Dieu forma une femme de la côte qu ’ il avait prise de l ’ homme , et il l ’ amena vers l ’ homme .
NEG1979	Genèse	2	23	Femme , héb. ischa , de isch , homme - Genèse
NEG1979	Genèse	2	24	+ Mt
NEG1979	Genèse	2	25	L ’ homme et sa femme étaient tous deux nus , et ils n ’ en avaient point honte . Footnotes - Genèse
NEG1979	Genèse	2	1	Co
NEG1979	Genèse	2	45	- Genèse
NEG1979	Genèse	2	31	Nouvelle Edition de Genève Copyright ©
NEG1979	Genèse	2	1979	by Société Biblique de Genève
NEG1979	Genèse	3	3	:
NEG1979	Genèse	3	2	La femme répondit au serpent : Nous mangeons du fruit des arbres du jardin .
NEG1979	Genèse	3	4	Alors le serpent dit à la femme : Vous ne mourrez point ;
NEG1979	Genèse	3	5	Seg. comme des dieux - Genèse
NEG1979	Genèse	3	6	La femme vit que l ’ arbre était bon à manger et agréable à la vue , et qu ’ il était précieux pour ouvrir l ’ intelligence ; elle prit de son fruit , et en mangea ; elle en donna aussi à son mari , qui était auprès d ’ elle , et il en mangea .
NEG1979	Genèse	3	7	Les yeux de l ’ un et de l ’ autre s ’ ouvrirent , ils connurent qu ’ ils étaient nus , et ayant cousu des feuilles de figuier , ils s ’ en firent des ceintures .
