estilo	livro	capitulo	versiculo	texto
SG21	Genèse	1	1	:
SG21	Genèse	1	21	Copyright ©
SG21	Genèse	1	2	La terre n ’ était que chaos et vide . Il y avait des ténèbres à la surface de l&apos; abîme et l&apos; Esprit de Dieu planait au-dessus de l ’ eau .
SG21	Genèse	1	3	Dieu dit : « Qu ’ il y ait de la lumière ! » et il y eut de la lumière .
SG21	Genèse	1	4	Dieu vit que la lumière était bonne , et il sépara la lumière des ténèbres .
SG21	Genèse	1	5	Dieu appela la lumière jour , et les ténèbres nuit . Il y eut un soir et il y eut un matin . Ce fut le premier jour .
SG21	Genèse	1	6	Dieu dit : « Qu&apos; il y ait une étendue entre les eaux pour les séparer les unes des autres ! »
SG21	Genèse	1	7	Dieu fit l&apos; étendue et sépara ainsi l ’ eau qui est au-dessous de l&apos; étendue de celle qui est au-dessus . Cela se passa ainsi .
SG21	Genèse	1	8	Dieu appela l&apos; étendue ciel . Il y eut un soir et il y eut un matin . Ce fut le deuxième jour .
SG21	Genèse	1	9	Dieu dit : « Que les eaux qui sont au-dessous du ciel se rassemblent à un seul endroit et que le sec apparaisse ! » Et cela se passa ainsi .
SG21	Genèse	1	10	Dieu appela le sec terre , et la masse des eaux mers . Dieu vit que c&apos; était bon .
SG21	Genèse	1	11	Puis Dieu dit : « Que la terre produise de la verdure , de l&apos; herbe à graine , des arbres fruitiers qui donnent du fruit selon leur espèce et qui contiennent leur semence sur la terre ! » Et cela se passa ainsi :
SG21	Genèse	1	12	la terre produisit de la verdure , de l&apos; herbe à graine selon son espèce et des arbres qui donnent du fruit et contiennent leur semence selon leur espèce . Dieu vit que c&apos; était bon .
SG21	Genèse	1	13	Il y eut un soir et il y eut un matin . Ce fut le troisième jour .
SG21	Genèse	1	14	Dieu dit : « Qu&apos; il y ait des luminaires dans l&apos; étendue du ciel pour séparer le jour de la nuit ! Ils serviront de signes pour marquer les époques , les jours et les années ,
SG21	Genèse	1	15	ainsi que de luminaires dans l&apos; étendue du ciel pour éclairer la terre . » Et cela se passa ainsi :
SG21	Genèse	1	16	Dieu fit les deux grands luminaires , le plus grand pour présider au jour et le plus petit pour présider à la nuit . Il fit aussi les étoiles .
SG21	Genèse	1	17	Dieu les plaça dans l&apos; étendue du ciel pour éclairer la terre ,
SG21	Genèse	1	18	pour dominer sur le jour et la nuit et pour séparer la lumière des ténèbres . Dieu vit que c&apos; était bon .
SG21	Genèse	1	19	Il y eut un soir et il y eut un matin . Ce fut le quatrième jour .
SG21	Genèse	1	20	Dieu dit : « Que l ’ eau pullule d&apos; animaux vivants et que des oiseaux volent dans le ciel au-dessus de la terre ! »
SG21	Genèse	1	22	et il les bénit en disant : « Reproduisez-vous , devenez nombreux et remplissez les mers , et que les oiseaux se multiplient sur la terre ! »
SG21	Genèse	1	23	Il y eut un soir et il y eut un matin . Ce fut le cinquième jour .
SG21	Genèse	1	24	Dieu dit : « Que la terre produise des animaux vivants selon leur espèce : du bétail , des reptiles et des animaux terrestres selon leur espèce . » Et cela se passa ainsi .
SG21	Genèse	1	25	Dieu fit les animaux terrestres selon leur espèce , le bétail selon son espèce et tous les reptiles de la terre selon leur espèce . Dieu vit que c&apos; était bon . Création de l ’ être humain et repos
SG21	Genèse	1	26	Puis Dieu dit : « Faisons l&apos; homme à notre image , à notre ressemblance ! Qu&apos; il domine sur les poissons de la mer , sur les oiseaux du ciel , sur le bétail , sur toute la terre et sur tous les reptiles qui rampent sur la terre . »
SG21	Genèse	1	27	Il créa l&apos; homme et la femme : repris en 5.2 et cité en Matthieu 19.4 ; Marc 10.6 . Version Segond
SG21	Genèse	1	28	Dieu les bénit et leur dit : « Reproduisez-vous , devenez nombreux , remplissez la terre et soumettez-la ! Dominez sur les poissons de la mer , sur les oiseaux du ciel et sur tout animal qui se déplace sur la terre ! »
SG21	Genèse	1	29	Dieu dit aussi : « Je vous donne toute herbe à graine sur toute la surface de la terre , ainsi que tout arbre portant des fruits avec pépins ou noyau : ce sera votre nourriture .
SG21	Genèse	1	30	A tout animal de la terre , à tout oiseau du ciel et à tout ce qui se déplace sur la terre , à ce qui est animé de vie , je donne toute herbe verte pour nourriture . » Et cela se passa ainsi .
