estilo	livro	capitulo	versiculo	texto
BDG	Matteo	1	1	Questi sono gli antenati di Gesù Cristo , discendente del re Davide e di Abramo .
BDG	Matteo	1	2	Abramo fu il padre di Isacco ; Isacco fu il padre di Giacobbe ; Giacobbe fu il padre di Giuda e dei suoi fratelli .
BDG	Matteo	1	3	Giuda fu il padre di Fares e Zara ( Tamar fu la loro madre ) ; Fares fu il padre di Esrom ; Esrom fu il padre di Aram ;
BDG	Matteo	1	4	Aram fu il padre di Aminadab ; Aminadab fu il padre di Naasson ; Naasson fu il padre di Salmon ;
BDG	Matteo	1	5	Salmon fu il padre di Booz ( e Rahab sua madre ) ; Booz fu il padre di Obed ( e Ruth sua madre ) ; Obed fu il padre di Iesse ;
BDG	Matteo	1	6	Iesse fu il padre del re Davide ; Davide fu il padre di Salomone ( e sua madre la vedova dʼUria ) ;
BDG	Matteo	1	7	Salomone fu il padre di Roboamo ; Roboamo fu il padre di Abia ; Abia fu il padre di Asa ;
BDG	Matteo	1	8	Asa fu il padre di Giosafat ; Giosafat fu il padre di Ioram ; Ioram fu il padre di Uzzia ;
BDG	Matteo	1	9	Uzzia fu il padre di Ioatam ; Ioatam fu il padre di Achaz ; Achaz fu il padre di Ezechia ;
BDG	Matteo	1	10	Ezechia fu il padre di Manasse ; Manasse fu il padre di Amon ; Amon fu il padre di Giosia ;
BDG	Matteo	1	11	Giosia fu il padre di Ieconia e dei suoi fratelli ( nati nel periodo dellʼesilio in Babilonia ) .
BDG	Matteo	1	12	Dopo lʼesilio : Ieconia fu il padre di Salatiel ; Salatiel fu il padre di Zorobabel ;
BDG	Matteo	1	13	Zorobabel fu il padre di Abiud ; Abiud fu il padre di Eliacim ; Eliacim fu il padre di Azor ;
BDG	Matteo	1	14	Azor fu il padre di Sadoc ; Sadoc fu il padre di Achim ; Achim fu il padre di Eliud ;
BDG	Matteo	1	15	Eliud fu il padre di Eleazaro ; Eleazaro fu il padre di Mattan ; Mattan fu il padre di Giacobbe ;
BDG	Matteo	1	16	Giacobbe fu il padre di Giuseppe , il marito di Maria , la madre di Gesù Cristo , il Messia .
BDG	Matteo	1	17	Così da Abramo fino a Davide abbiamo quattordici generazioni , dal re Davide allʼesilio in Babilonia altre quattordici generazioni ; come pure abbiamo quattordici generazioni dallʼesilio a Cristo . Promessa della nascita di Gesù
