estilo	livro	capitulo	versiculo	texto
CEI	Genesi	1	1	In principio Dio creò il cielo e la terra .
CEI	Genesi	1	2	Ora la terra era informe e deserta e le tenebre ricoprivano l&apos; abisso e lo spirito di Dio aleggiava sulle acque .
CEI	Genesi	1	3	Dio disse : « Sia la luce ! » . E la luce fu .
CEI	Genesi	1	4	Dio vide che la luce era cosa buona e separò la luce dalle tenebre
CEI	Genesi	1	5	e chiamò la luce giorno e le tenebre notte . E fu sera e fu mattina : primo giorno .
CEI	Genesi	1	6	Dio disse : « Sia il firmamento in mezzo alle acque per separare le acque dalle acque » .
CEI	Genesi	1	7	Dio fece il firmamento e separò le acque , che sono sotto il firmamento , dalle acque , che son sopra il firmamento . E così avvenne .
CEI	Genesi	1	8	Dio chiamò il firmamento cielo . E fu sera e fu mattina : secondo giorno .
CEI	Genesi	1	9	Dio disse : « Le acque che sono sotto il cielo , si raccolgano in un solo luogo e appaia l&apos; asciutto » . E così avvenne .
CEI	Genesi	1	10	Dio chiamò l&apos; asciutto terra e la massa delle acque mare . E Dio vide che era cosa buona .
CEI	Genesi	1	11	E Dio disse : « La terra produca germogli , erbe che producono seme e alberi da frutto , che facciano sulla terra frutto con il seme , ciascuno secondo la sua specie » . E così avvenne :
CEI	Genesi	1	12	la terra produsse germogli , erbe che producono seme , ciascuna secondo la propria specie e alberi che fanno ciascuno frutto con il seme , secondo la propria specie . Dio vide che era cosa buona .
CEI	Genesi	1	13	E fu sera e fu mattina : terzo giorno .
CEI	Genesi	1	14	Dio disse : « Ci siano luci nel firmamento del cielo , per distinguere il giorno dalla notte ; servano da segni per le stagioni , per i giorni e per gli anni
CEI	Genesi	1	15	e servano da luci nel firmamento del cielo per illuminare la terra » . E così avvenne :
CEI	Genesi	1	16	Dio fece le due luci grandi , la luce maggiore per regolare il giorno e la luce minore per regolare la notte , e le stelle .
CEI	Genesi	1	17	Dio le pose nel firmamento del cielo per illuminare la terra
CEI	Genesi	1	18	e per regolare giorno e notte e per separare la luce dalle tenebre . E Dio vide che era cosa buona .
CEI	Genesi	1	19	E fu sera e fu mattina : quarto giorno .
CEI	Genesi	1	20	Dio disse : « Le acque brulichino di esseri viventi e uccelli volino sopra la terra , davanti al firmamento del cielo » .
CEI	Genesi	1	21	Dio creò i grandi mostri marini e tutti gli esseri viventi che guizzano e brulicano nelle acque , secondo la loro specie , e tutti gli uccelli alati secondo la loro specie . E Dio vide che era cosa buona .
CEI	Genesi	1	22	Dio li benedisse : « Siate fecondi e moltiplicatevi e riempite le acque dei mari ; gli uccelli si moltiplichino sulla terra » .
CEI	Genesi	1	23	E fu sera e fu mattina : quinto giorno .
CEI	Genesi	1	24	Dio disse : « La terra produca esseri viventi secondo la loro specie : bestiame , rettili e bestie selvatiche secondo la loro specie » . E così avvenne :
CEI	Genesi	1	25	Dio fece le bestie selvatiche secondo la loro specie e il bestiame secondo la propria specie e tutti i rettili del suolo secondo la loro specie . E Dio vide che era cosa buona .
CEI	Genesi	1	26	E Dio disse : « Facciamo l&apos; uomo a nostra immagine , a nostra somiglianza , e domini sui pesci del mare e sugli uccelli del cielo , sul bestiame , su tutte le bestie selvatiche e su tutti i rettili che strisciano sulla terra » .
CEI	Genesi	1	27	Dio creò l&apos; uomo a sua immagine ; a immagine di Dio lo creò ; maschio e femmina li creò .
CEI	Genesi	1	28	Dio li benedisse e disse loro : « Siate fecondi e moltiplicatevi , riempite la terra ; soggiogatela e dominate sui pesci del mare e sugli uccelli del cielo e su ogni essere vivente , che striscia sulla terra » .
CEI	Genesi	1	29	Poi Dio disse : « Ecco , io vi do ogni erba che produce seme e che è su tutta la terra e ogni albero in cui è il frutto , che produce seme : saranno il vostro cibo .
CEI	Genesi	1	30	A tutte le bestie selvatiche , a tutti gli uccelli del cielo e a tutti gli esseri che strisciano sulla terra e nei quali è alito di vita , io do in cibo ogni erba verde » . E così avvenne .
CEI	Genesi	1	31	Dio vide quanto aveva fatto , ed ecco , era cosa molto buona . E fu sera e fu mattina : sesto giorno .
CEI	Genesi	2	2	Allora Dio , nel settimo giorno portò a termine il lavoro che aveva fatto e cessò nel settimo giorno da ogni suo lavoro .
CEI	Genesi	2	3	Dio benedisse il settimo giorno e lo consacrò , perché in esso aveva cessato da ogni lavoro che egli creando aveva fatto .
CEI	Genesi	2	4	Queste le origini del cielo e della terra , quando vennero creati . La prova della libertà . Il paradiso Quando il Signore Dio fece la terra e il cielo ,
