estilo	livro	capitulo	versiculo	texto
LND	Matteo	1	1	Libro della genealogia di Gesú Cristo , figlio di Davide , figlio di Abrahamo .
LND	Matteo	1	2	Abrahamo generò Isacco ; Isacco generò Giacobbe ; Giacobbe ; generò Giuda e i suoi fratelli .
LND	Matteo	1	3	Giuda generò Fares e Zara da Tamar ; Fares generò Esrom ; Esrom generò Aram ;
LND	Matteo	1	4	Aram generò Aminadab , Aminadab generò Naasson ; Naasson generò Salmon ,
LND	Matteo	1	5	Salmon generò Booz da Rahab ; Booz generò Obed da Ruth ; Obed generò Iesse .
LND	Matteo	1	6	Iesse generò il re Davide ; il re Davide generò Salomone da quella che era stata la moglie di Uria .
LND	Matteo	1	7	Salomone generò Roboamo ; Roboamo generò Abia ; Abia generò Asa
LND	Matteo	1	8	Asa generò Giosafat ; Giosafat generò Ioram ; Ioram generò Ozia .
LND	Matteo	1	9	Ozia generò Ioatam ; Ioatam generò Acaz ; Acaz generò Ezechia .
LND	Matteo	1	10	Ezechia generò Manasse ; Manasse generò Amon ; Amon generò Iosia .
LND	Matteo	1	11	Iosia generò Ieconia e i suoi fratelli al tempo della deportazione in Babilonia .
LND	Matteo	1	12	Dopo la deportazione in Babilonia , Ieconia generò Salatiel ; Salatiel generò Zorobahel .
LND	Matteo	1	13	Zorobabel generò Abiud ; Abiud generò Eliakim ; Eliakim generò Azor .
LND	Matteo	1	14	Azor generò Sadok ; Sadok generò Achim ; Achim generò Eliud .
LND	Matteo	1	15	Eliud generò Eleazar ; Eleazar generò Matthan ; Matthan generò Giacobbe .
LND	Matteo	1	16	Giacobbe generò Giuseppe , il marito di Maria , dalla quale nacque Gesú , che è chiamato Cristo .
LND	Matteo	1	17	Cosí , tutte le generazioni da Abrahamo fino a Davide sono quattordici generazioni ; e da Davide fino alla deportazione in Babilonia , quattordici generazioni ; e dalla deportazione in Babilonia fino a Cristo , quattordici generazioni .
LND	Matteo	1	18	Or la nascita di Gesú Cristo avvenne in questo modo . Maria , sua madre , era stata promessa in matrimonio a Giuseppe , ma prima che iniziassero a stare insieme , si trovò incinta per opera dello Spirito Santo .
LND	Matteo	1	19	Allora Giuseppe , suo sposo , che era uomo giusto e non voleva esporla ad infamia , deliberò di lasciarla segretamente .
LND	Matteo	1	20	Ma , mentre rifletteva su queste cose , ecco che un angelo del Signore gli apparve in sogno , dicendo : « Giuseppe , figlio di Davide , non temere di prendere con te Maria come tua moglie , perché ciò che è stato concepito in lei è opera dello Spirito Santo .
LND	Matteo	1	21	Ed ella partorirà un figlio e tu gli porrai nome Gesú , perché egli salverà il suo popolo dai loro peccati » .
LND	Matteo	1	22	Or tutto ciò avvenne affinché si adempisse quello che era stato detto dal Signore , per mezzo del profeta che dice :
LND	Matteo	1	23	« Ecco , la vergine sarà incinta e partorirà un figlio , il quale sarà chiamato Emmanuele che , interpretato , vuol dire : &quot; Dio con noi &quot; .
LND	Matteo	1	24	E Giuseppe , destatosi dal sonno , fece come l&apos; angelo del Signore gli aveva comandato e prese con sé sua moglie ;
LND	Matteo	1	25	ma egli non la conobbe , finché ella ebbe partorito il suo figlio primogenito , al quale pose nome Gesú .
LND	Matteo	2	2	dicendo : « Dov&apos; è il re dei Giudei che è nato ? Poiché noi abbiamo visto la sua stella in oriente e siamo venuti per adorarlo » .
LND	Matteo	2	3	All&apos; udire ciò , il re Erode fu turbato , e tutta Gerusalemme con lui .
LND	Matteo	2	4	E , radunati tutti i capi dei sacerdoti e gli scribi , del popolo , s&apos; informò da loro dove doveva nascere il Cristo .
LND	Matteo	2	5	Ed essi gli dissero : « In Betlemme di Giudea , perché cosí è scritto per mezzo del profeta :
LND	Matteo	2	6	&quot; E tu , Betlemme terra di Giuda , non sei certo la minima fra i principi di Giuda , perché da te uscirà un capo , che pascerà il mio popolo Israele &quot; » .
LND	Matteo	2	7	Allora Erode , chiamati di nascosto i magi , domandò loro con esattezza da quanto tempo la stella era apparsa .
LND	Matteo	2	8	E , mandandoli a Betlemme , disse loro « Andate e domandate diligentemente del bambino , e , quando l&apos; avrete trovato , fatemelo sapere , affinché io pure venga ad adorarlo » .
LND	Matteo	2	9	Ed essi , udito il re , partirono ; ed ecco , la stella che avevano veduta in oriente andava davanti a loro finché , giunta sul luogo dov&apos; era il bambino , vi si fermò .
LND	Matteo	2	10	Quando essi videro la stella , si rallegrarono di grandissima gioia .
LND	Matteo	2	11	E , entrati nella casa , trovarono il bambino con Maria sua madre e , prostratisi , lo adorarono . Poi aperti i loro tesori , gli offrirono doni : oro , incenso e mirra .
LND	Matteo	2	12	Quindi , divinamente avvertiti in sogno di non tornare da Erode , per un&apos; altra strada fecero ritorno al loro paese .
LND	Matteo	2	13	Ora , dopo che furono partiti , ecco un angelo del Signore apparve in sogno a Giuseppe e gli disse : « Alzati , prendi il bambino e sua madre e fuggi in Egitto , e rimani là finché io non ti avvertirò , perché Erode cercherà il bambino per farlo morire » .
LND	Matteo	2	14	Egli dunque , destatosi , prese il bambino e sua madre di notte , e si rifugiò in Egitto .
LND	Matteo	2	15	E rimase là fino alla morte di Erode , affinché si adempisse quello che fu detto dal Signore per mezzo del profeta , che dice : « Ho chiamato il mio figlio fuori dall&apos; Egitto » .
LND	Matteo	2	16	Allora Erode , vedendosi beffato dai magi , si adirò grandemente e mandò a far uccidere tutti i bambini che erano in Betlemme e in tutti i suoi dintorni , dall&apos; età di due anni in giú , secondo il tempo del quale si era diligentemente informato dai magi .
LND	Matteo	2	17	Allora si adempí quello che fu detto dal profeta Geremia che dice :
