estilo	livro	capitulo	versiculo	texto
LND	Genesi	1	1	Nel principio DIO creò i cieli e la terra .
LND	Genesi	1	2	La terra era informe e vuota e le tenebre coprivano la faccia dell&apos; abisso ; e lo Spirito di DIO aleggiava sulla superficie delle acque .
LND	Genesi	1	3	Poi DIO disse : &quot; Sia la luce ! &quot; . E la luce fu .
LND	Genesi	1	4	E DIO vide che la luce era buona ; e DIO separò la luce dalle tenebre .
LND	Genesi	1	5	E DIO chiamò la luce &quot; giorno &quot; e chiamò le tenebre &quot; notte &quot; . Così fu sera . Poi fu mattina : il primo giorno .
LND	Genesi	1	6	Poi DIO disse : « Vi sia un firmamento tra le acque che separi le acque dalle acque » .
LND	Genesi	1	7	E DIO fece il firmamento e separò le acque che erano sotto il firmamento dalle acque che erano sopra il firmamento . E così fu .
LND	Genesi	1	8	E DIO chiamò il firmamento &quot; cielo &quot; . Così fu sera , poi fu mattina : il secondo giorno .
LND	Genesi	1	9	Poi Dio disse : « le acque che sono sotto il cielo siano raccolte in un unico luogo , e appaia l&apos; asciutto » . E così fu .
LND	Genesi	1	10	E DIO chiamò l&apos; asciutto &quot; terra &quot; , e chiamò la raccolta delle acque &quot; mari &quot; . E DIO vide che questo era buono .
LND	Genesi	1	11	Poi DIO disse : Faccia la terra germogliare la verdura , le erbe che facciano seme e gli alberi da frutto che portino sulla terra un frutto contenente il proprio seme , ciascuno secondo la propria specie » . E così fu .
LND	Genesi	1	12	E la terra produsse verdura , erbe che facevano seme secondo la loro specie e alberi che portavano frutto contenente il proprio seme , ciascuno secondo la propria specie . E DIO vide che questo era buono .
LND	Genesi	1	13	Così fu sera , poi fu mattina : il terzo giorno .
LND	Genesi	1	14	Poi DIO disse : Vi siano dei luminari nel firmamento dei cieli per separare il giorno dalla notte ; e siano per segni e per stagioni e per giorni e per anni ;
LND	Genesi	1	15	e servano da luminari nel firmamento dei cieli per far luce sulla terra . E così fu .
LND	Genesi	1	16	DIO fece quindi i due grandi luminari : il luminare maggiore per il governo del giorno e il luminare minore per il governo della notte ; e fece pure le stelle .
LND	Genesi	1	17	E DIO li mise nel firmamento dei cieli per far luce sulla terra .
LND	Genesi	1	18	per governare il giorno e la notte , e separare la luce dalle tenebre . E DIO vide che questo era buono .
LND	Genesi	1	19	Così fu sera , e fu mattina : il quarto giorno .
LND	Genesi	1	20	Poi DIO disse : « Brulichino le acque di moltitudini di esseri viventi , e volino gli uccelli sopra la terra per l&apos; ampio firmamento del cielo » .
LND	Genesi	1	21	Così DIO creò i grandi animali acquatici e tutti gli esseri viventi che si muovono , di cui brulicano le acque , ciascuno secondo la propria specie , ed ogni volatile secondo la sua specie . E DIO vide che questo era buono .
LND	Genesi	1	22	E Dio li benedisse dicendo : « Siate fruttiferi , moltiplicate e riempite le acque dei mari , e gli uccelli si moltiplichino sulla terra » .
LND	Genesi	1	23	Così fu sera , poi fu mattina : il quinto giorno .
LND	Genesi	1	24	Poi DIO disse : « Produca la terra esseri viventi secondo la loro specie : bestiame , rettili e fiere della terra , secondo la loro specie » . E così fu .
LND	Genesi	1	25	E DIO fece le fiere della terra secondo la loro specie , il bestiame secondo la propria specie , e tutti i rettili della terra secondo la loro specie . E DIO vide che questo era buono .
LND	Genesi	1	26	Poi DIO disse : « Facciamo l&apos; uomo a nostra immagine e a nostra somiglianza , ed abbia dominio sui pesci del mare , sugli uccelli del cielo , sul bestiame e su tutta la terra , e su tutti i rettili che strisciano sulla terra » .
LND	Genesi	1	27	Così DIO creò l&apos; uomo a sua immagine ; lo creò a immagine di DIO ; li creò maschio e femmina .
LND	Genesi	1	28	E DIO li benedisse e DIO disse loro « Siate fruttiferi e moltiplicatevi , riempite la terra e soggiogatela , e dominate sui pesci del mare , sugli uccelli del cielo e sopra ogni essere vivente che si muove sulla terra » .
LND	Genesi	1	29	E DIO disse : « Ecco io vi do ogni erba che fa seme sulla superficie di tutta la terra e ogni albero che abbia frutti portatori di seme ; questo vi servirà di nutrimento .
LND	Genesi	1	30	E a ogni animale della terra , a ogni uccello dei cieli e a tutto ciò che si muove sulla terra ed ha in sé un soffio di vita , io do ogni erba verde per nutrimento » . E così fu .
LND	Genesi	1	31	Allora DIO vide tutto ciò che aveva fatto , ed ecco , era molto buono . Così fu sera poi fu mattina : il sesto giorno .
LND	Genesi	2	2	Pertanto il settimo giorno , DIO terminò l&apos; opera che aveva fatto , e nel settimo giorno si riposò da tutta l&apos; opera che aveva fatto .
LND	Genesi	2	3	E DIO benedisse il settimo giorno e lo santificò , perché in esso DIO si riposò da tutta l&apos; opera che aveva creato e fatto .
LND	Genesi	2	4	Queste sono le origini dei cieli e della terra quando furono creati , nel giorno che l&apos; Eterno DIO fece la terra e i cieli .
LND	Genesi	2	5	Non vi era ancora sulla terra alcun arbusto della campagna e nessuna erba della campagna era ancora spuntata , perché l&apos; Eterno DIO non aveva fatto piovere sulla terra e non vi era l&apos; uomo che coltivasse il suolo .
LND	Genesi	2	6	Ma dalla terra saliva un vapore che irrigava tutta la superficie del suolo ,
LND	Genesi	2	7	Allora l&apos; Eterno Dio formò l&apos; uomo dalla polvere della terra , gli soffiò nelle narici un alito di vita , e l&apos; uomo divenne un essere vivente .
LND	Genesi	2	8	Poi l&apos; Eterno DIO piantò un giardino in Eden , ad oriente , e vi pose l&apos; uomo che aveva formato .
LND	Genesi	2	9	E l&apos; Eterno DIO fece spuntare dal suolo ogni sorta di alberi piacevoli a vedersi e i cui frutti erano buoni da mangiare ; in mezzo al giardino vi erano anche l&apos; albero della vita e l&apos; albero della conoscenza del bene e del male .
LND	Genesi	2	10	Un fiume usciva da Eden per irrigare il giardino e di là si divideva per divenire quattro corsi d&apos; acqua .
LND	Genesi	2	11	Il nome del primo è Pishon ; è quello che circonda tutto il paese di Havilah , dov&apos; è l&apos; oro ;
LND	Genesi	2	12	e l&apos; oro di quel paese è buono ; là si trovano pure il bdellio e la pietra d&apos; ònice .
LND	Genesi	2	13	Il nome del secondo fiume è Ghihon , ed è quello che circonda tutto il paese di Cush .
LND	Genesi	2	14	Il nome del terzo fiume che è il Tigri , ed è quello che scorre a est dell&apos; Assiria . E il quarto fiume è l&apos; Eufrate .
LND	Genesi	2	15	L&apos; Eterno DIO prese dunque l&apos; uomo e lo pose nel giardino dell&apos; Eden perché lo lavorasse e lo custodisse .
LND	Genesi	2	16	E l&apos; Eterno DIO comandò l&apos; uomo dicendo : « Mangia pure liberamente di ogni albero del giardino ;
LND	Genesi	2	17	ma dell&apos; albero della conoscenza del bene e del male non ne mangiare , perché nel giorno che tu ne mangerai , per certo morrai » .
LND	Genesi	2	18	Poi l&apos; Eterno DIO disse : « Non è bene che l&apos; uomo sia solo ; io gli farò un aiuto conveniente a lui » .
LND	Genesi	2	19	E l&apos; Eterno DIO formò dalla terra tutti gli animali dei campi e tutti gli uccelli dei cieli e li condusse dall&apos; uomo per vedere come li avrebbe chiamati ; e in qualunque modo l&apos; uomo avesse chiamato ogni essere vivente , quello doveva essere il suo nome .
LND	Genesi	2	20	E l&apos; uomo diede dei nomi a tutto il bestiame , agli uccelli del cielo e ad ogni animale dei campi ; ma per l&apos; uomo non si trovò alcun aiuto conveniente per lui .
LND	Genesi	2	21	Allora l&apos; Eterno DIO fece cadere un profondo sonno sull&apos; uomo , che si addormentò ; e prese una delle sue costole , e rinchiuse la carne al suo posto .
LND	Genesi	2	22	Poi l&apos; Eterno DIO con la costola che aveva tolta all&apos; uomo ne formò una donna e la condusse all&apos; uomo .
LND	Genesi	2	23	E l&apos; uomo disse : « Questa finalmente è ossa delle mie ossa e carne della mia carne . Lei sarà chiamata donna perché è stata tratta dall&apos; uomo » .
LND	Genesi	2	24	Perciò l&apos; uomo lascerà suo padre e sua madre e si unirà a sua moglie , e saranno una sola carne .
LND	Genesi	2	25	E l&apos; uomo e sua moglie erano ambedue nudi e non ne avevano vergogna .
LND	Genesi	3	3	ma del frutto dell&apos; albero che è in mezzo al giardino DIO ha detto : &quot; Non ne mangiate e non lo toccate , altrimenti morirete » .
LND	Genesi	3	2	E la donna rispose al serpente : « Del frutto degli alberi del giardino ne possiamo mangiare ;
LND	Genesi	3	4	Allora il serpente disse alla donna : « voi non morrete affatto ;
LND	Genesi	3	5	ma DIO sa che nel giorno che ne mangerete , gli occhi vostri si apriranno e sarete come DIO , conoscendo il bene e il male » .
LND	Genesi	3	6	E la donna vide che l&apos; albero era buono da mangiare , che era piacevole agli occhi e che l&apos; albero era desiderabile per rendere uno intelligente ; ed ella prese del suo frutto , ne mangiò e ne diede anche a suo marito che era con lei , ed egli ne mangiò .
LND	Genesi	3	7	Allora si apersero gli occhi di ambedue e si accorsero di essere nudi ; cosi cucirono delle foglie di fico e fecero delle cinture per coprirsi .
LND	Genesi	3	8	Poi udirono la voce dell&apos; Eterno DIO che passeggiava nel giardino alla brezza del giorno ; e l&apos; uomo e sua moglie si nascosero dalla presenza dell&apos; Eterno DIO fra gli alberi del giardino .
LND	Genesi	3	9	Allora l&apos; Eterno DIO chiamò l&apos; uomo e gli disse : « Dove sei ? » .
LND	Genesi	3	10	Egli rispose : « Ho udito la tua voce nel giardino , e ho avuto paura perché ero nudo , e mi sono nascosto » .
LND	Genesi	3	11	E DIO disse : « Chi ti ha mostrato che eri nudo ? Hai forse mangiato dell&apos; albero del quale io ti avevo comandato di non mangiare ? » .
LND	Genesi	3	12	L&apos; uomo rispose : « La donna che tu mi hai messo accanto mi ha dato dell&apos; albero e io ne ho mangiato » .
LND	Genesi	3	13	E l&apos; Eterno DIO disse alla donna : « Perché hai fatto questo ? » . La donna rispose : « Il serpente mi ha sedotta , e io ne ho mangiato » .
LND	Genesi	3	14	Allora l&apos; Eterno DIO disse al serpente : « Poiché hai fatto questo , sii maledetto fra tutto il bestiame e fra tutte le fiere dei campi ! Tu camminerai sul tuo ventre e mangerai polvere tutti i giorni della tua vita .
LND	Genesi	3	15	E io porrò inimicizia fra te e la donna e fra il tuo seme e il seme di lei ; esso ti schiaccerà il capo , e tu ferirai il suo calcagno » .
LND	Genesi	3	16	Alla donna disse : « Io moltiplicherò grandemente le tue sofferenze e le tue gravidanze ; con doglie partorirai figli : i tuoi desideri si volgeranno verso il tuo marito , ed egli dominerà su di te » .
LND	Genesi	3	17	Poi disse ad Adamo : « Poiché hai dato ascolto alla voce di tua moglie e hai mangiato dell&apos; albero circa il quale io ti avevo comandato dicendo : &quot; Non ne mangiare &quot; , il suolo sarà maledetto per causa tua ; ne mangerai il frutto con fatica tutti i giorni della tua vita .
LND	Genesi	3	18	Esso ti produrrà spine e triboli , e tu mangerai l&apos; erba dei campi ;
LND	Genesi	3	19	mangerai il pane col sudore del tuo volto , finché tu ritorni alla terra perché da essa fosti tratto ; poiché tu sei polvere , e in polvere ritornerai » .
LND	Genesi	3	20	E l&apos; uomo diede a sua moglie il nome di Eva , perché lei fu la madre di tutti i viventi .
LND	Genesi	3	21	Poi l&apos; Eterno DIO fece ad Adamo e a sua moglie delle tuniche di pelle , e li vestì .
LND	Genesi	3	22	E l&apos; Eterno DIO disse : « Ecco , l&apos; uomo è divenuto come uno di noi , perché conosce il bene e il male . Ed ora non bisogna permettergli i stendere la sua mano per prendere anche dell&apos; albero della vita perché mangiandone , viva per sempre » .
LND	Genesi	3	23	Perciò l&apos; Eterno DIO mandò via l&apos; uomo dal giardino di Eden perché lavorasse la terra da cui era stato tratto
LND	Genesi	3	24	Così egli scacciò l&apos; uomo ; e pose ad est del giardino di Eden i cherubini , che roteavano da tutt&apos; intorno una spada fiammeggiante , per custodire la via dell&apos; albero della vita .
LND	Genesi	4	4	Ora Abele offerse anch&apos; egli dei primogeniti del suo gregge e il loro grasso . E l&apos; Eterno riguardò Abele e la sua offerta ,
LND	Genesi	4	2	Poi partorì ancora Abele , suo fratello . E Abele divenne pastore di greggi ; mentre Caino divenne lavoratore della terra .
LND	Genesi	4	3	Col passare del tempo , avvenne che Caino fece un&apos; offerta di frutti della terra all&apos; Eterno ;
LND	Genesi	4	5	ma non riguardò Caino e la sua offerta . Così Caino ne fu molto irritato , e il suo viso ne fu abbattuto .
LND	Genesi	4	6	Allora l&apos; Eterno disse a Caino : « Perché sei tu irritato e perché è il tuo volto abbattuto ?
LND	Genesi	4	7	Se fai bene non sarai tu accettato ? Ma se fai male , il peccato sta spiandoti alla porta e i suoi desideri sono volti a te ; ma tu lo devi dominare » .
LND	Genesi	4	8	E Caino parlò con suo fratello Abele ; quando furono nei campi , Caino si levò contro suo fratello Abele e lo uccise .
LND	Genesi	4	9	Allora l&apos; Eterno disse a Caino : Dov&apos; è tuo fratello Abele ? » . Egli rispose : Non lo so ; sono io forse il custode di mio fratello ? » .
LND	Genesi	4	10	L&apos; Eterno disse : « Che hai tu fatto ? La voce del sangue di tuo fratello grida a me dalla terra .
LND	Genesi	4	11	E ora tu sei piú maledetto della terra che ha aperto la sua bocca per ricevere il sangue di tuo fratello dalla tua mano .
LND	Genesi	4	12	Quando coltiverai il suolo , esso non ti darà piú i suoi prodotti , e tu sarai vagabondo e fuggiasco sulla terra » .
LND	Genesi	4	13	Allora Caino disse all&apos; Eterno : Il mio castigo è troppo grande perché io lo possa sopportare .
LND	Genesi	4	14	Ecco , tu mi scacci oggi dalla faccia di questo suolo e sarò nascosto dalla tua faccia ; e sarò vagabondo e fuggiasco per la terra , e avverrà che chiunque mi troverà mi ucciderà » .
LND	Genesi	4	15	L&apos; Eterno gli disse : Perciò , chiunque ucciderà Caino , egli sarà punito sette volte » . E l&apos; Eterno mise un segno su Caino affinché nessuno trovandolo , lo uccidesse .
LND	Genesi	4	16	Allora Caino si allontanò dalla presenza dell&apos; Eterno e dimorò nel paese di Nod , ad est di Eden .
LND	Genesi	4	17	E Caino conobbe sua moglie , ed ella concepì e partorì Enok . Poi Caino costruì una città , a cui diede nome Enok , dal nome di suo figlio .
LND	Genesi	4	18	E a Enok nacque Irad ; Irad generò Mehujael ; Mehujael generò Methusael ; e Methusael generò Lamek .
LND	Genesi	4	19	E Lamek si prese due mogli : il nome di una era Ada , e il nome dell&apos; altra Tsillah .
LND	Genesi	4	20	E Ada partorì Jabal , che fu il padre di quelli che abitano sotto le tende e allevano il bestiame .
LND	Genesi	4	21	Ora il nome di suo fratello era Jubal , che fu il padre di tutti quelli che suonano la cetra e il flauto .
LND	Genesi	4	22	Tsillah partorì anch&apos; essa Tubalcain , l&apos; artefice di ogni sorta di strumenti di bronzo e di ferro ; e la sorella di Tubal-cain fu Naama .
LND	Genesi	4	23	Poi Lamek disse alle sue mogli : « Ada e Tsillah ascoltate la mia voce ; mogli di Lamek , fate attenzione alle mie parole ! Si , io ho ucciso un uomo perché mi ha ferito , e un giovane per avermi causato una lividura .
LND	Genesi	4	24	Se Caino sarà vendicato sette volte , Lamek lo sarà settanta volte sette » .
LND	Genesi	4	25	Quindi Adamo conobbe ancora la sua moglie , che partorì un figlio e lo chiamò Seth , perché ella disse : « Dio mi ha dato un altro discendente al posto di Abele , che Caino ha ucciso » .
LND	Genesi	4	26	Anche a Seth nacque un figlio , e lo chiamò Enosh . Allora si cominciò a invocare il nome dell&apos; Eterno .
LND	Genesi	5	5	Così tutto il tempo che Adamo visse fu di novecentotrent&apos; anni ; poi morì .
LND	Genesi	5	2	Li creò maschio e Femmina , li benedisse e diede loro il nome di uomo , nel giorno in cui furono creati .
LND	Genesi	5	3	Adamo visse centotrent&apos; anni e generò un figlio a sua somiglianza , conforme alla sua immagine , e lo chiamò Seth .
LND	Genesi	5	4	Dopo aver generato Seth , Adamo visse ottocento anni e generò figli e figlie .
LND	Genesi	5	6	Seth visse centocinque anni , e generò Enosh .
LND	Genesi	5	7	Dopo aver generato Enosh . Seth visse ottocentosette anni. e generò figli e figlie .
LND	Genesi	5	8	Così tutto il tempo che Seth visse fu di novecentododici anni ; poi morì .
LND	Genesi	5	9	Enosh visse novant&apos; anni e generò Kenan .
