estilo	livro	capitulo	versiculo	texto
NR1994	Matteo	1	1	:
NR1994	Matteo	1	1994	Genealogia di Gesú Cristo ( A )
NR1994	Matteo	1	2	:
NR1994	Matteo	1	3	Giuda generò Fares e Zara da Tamar ; Fares generò Esrom ; Esrom generò Aram ;
NR1994	Matteo	1	4	Aram generò Aminadab ; Aminadab generò Naasson ; Naasson generò Salmon ;
NR1994	Matteo	1	5	Salmon generò * Boos da Raab ; Boos generò Obed da * Rut ; Obed generò * Iesse ,
NR1994	Matteo	1	6	e Iesse generò Davide , il re . Davide generò * Salomone da quella che era stata moglie di * Uria ;
NR1994	Matteo	1	7	.
NR1994	Matteo	1	8	Asa generò * Giosafat ; Giosafat generò Ioram ; Ioram generò * Uzzia ;
NR1994	Matteo	1	9	Uzzia generò Ioatam ; Ioatam generò Acaz ; Acaz generò * Ezechia ;
NR1994	Matteo	1	10	Ezechia generò * Manasse ; Manasse generò Amon ; Amon generò * Giosia ;
NR1994	Matteo	1	11	Giosia generò Ieconia e i suoi fratelli al tempo della deportazione in * Babilonia .
NR1994	Matteo	1	12	Dopo la deportazione in Babilonia , Ieconia generò Salatiel ; Salatiel generò * Zorobabel ;
NR1994	Matteo	1	13	Zorobabele generò Abiud ; Abiud generò Eliachim ; Eliachim generò Azor ;
NR1994	Matteo	1	14	. - Matteo
NR1994	Matteo	1	15	Eliud generò Eleàzaro ; Eleàzaro generò Mattan ; Mattan generò Giacobbe ;
NR1994	Matteo	1	16	Giacobbe generò * Giuseppe , il marito di * Maria , dalla quale nacque Gesú , che è chiamato Cristo .
NR1994	Matteo	1	17	Cosí , da Abraamo fino a Davide sono in tutto quattordici generazioni ; da Davide fino alla deportazione in Babilonia , quattordici generazioni ; e dalla deportazione in Babilonia fino a Cristo , quattordici generazioni . Nascita di Gesú Cristo
NR1994	Matteo	1	18	( C ) La nascita di Gesú Cristo avvenne in questo modo . Maria , sua madre , era stata promessa sposa a Giuseppe e , prima che fossero venuti a stare insieme , si trovò incinta per opera dello Spirito Santo .
NR1994	Matteo	1	19	Giuseppe , suo marito , che era uomo giusto e non voleva esporla a infamia , si propose di lasciarla segretamente .
NR1994	Matteo	1	20	Ma mentre aveva queste cose nell&apos; animo , un angelo del Signore gli apparve in sogno , dicendo : « Giuseppe , figlio di Davide , non temere di prendere con te Maria , tua moglie ; perché ciò che in lei è generato , viene dallo Spirito Santo .
NR1994	Matteo	1	21	Gesú , vd. nota Mt
NR1994	Matteo	1	22	Tutto ciò avvenne , affinché si adempisse quello che era stato detto dal Signore per mezzo del * profeta :
NR1994	Matteo	1	23	+ Is
