estilo	livro	capitulo	versiculo	texto
NR1994	Genesi	1	1	:
NR1994	Genesi	1	1994	I tempi antichi , dalla creazione ad Abraamo ( A ) La creazione
NR1994	Genesi	1	2	( C ) La terra era informe e vuota , le tenebre coprivano la faccia dell&apos; abisso e lo Spirito di Dio aleggiava sulla superficie delle acque .
NR1994	Genesi	1	3	Dio disse : « Sia luce ! » E luce fu .
NR1994	Genesi	1	4	Dio vide che la luce era buona ; e Dio separò la luce dalle tenebre .
NR1994	Genesi	1	5	Dio chiamò la luce « giorno » e le tenebre « notte » . Fu sera , poi fu mattina : primo giorno .
NR1994	Genesi	1	6	Una distesa , altri traducono : un&apos; atmosfera o firmamento .
NR1994	Genesi	1	7	Dio fece la distesa e separò le acque che erano sotto la distesa dalle acque che erano sopra la distesa . E cosí fu .
NR1994	Genesi	1	8	Dio chiamò la distesa « cielo » . Fu sera , poi fu mattina : secondo giorno .
NR1994	Genesi	1	9	( E ) Poi Dio disse : « Le acque che sono sotto il cielo siano raccolte in un unico luogo e appaia l&apos; asciutto » . E cosí fu .
NR1994	Genesi	1	10	Dio chiamò l&apos; asciutto « terra » , e chiamò la raccolta delle acque « mari » . Dio vide che questo era buono .
NR1994	Genesi	1	11	Poi Dio disse : « Produca la terra della vegetazione , delle erbe che facciano seme e degli alberi fruttiferi che , secondo la loro specie , portino del frutto avente in sé la propria semenza , sulla terra » . E cosí fu .
NR1994	Genesi	1	12	La terra produsse della vegetazione , delle erbe che facevano seme secondo la loro specie e degli alberi che portavano del frutto avente in sé la propria semenza , secondo la loro specie . Dio vide che questo era buono .
NR1994	Genesi	1	13	Fu sera , poi fu mattina : terzo giorno .
NR1994	Genesi	1	14	( F ) Poi Dio disse : « Vi siano delle luci nella distesa dei cieli per separare il giorno dalla notte ; siano dei segni per le stagioni , per i giorni e per gli anni ;
NR1994	Genesi	1	15	facciano luce nella distesa dei cieli per illuminare la terra » . E cosí fu .
NR1994	Genesi	1	16	Dio fece le due grandi luci : la luce maggiore per presiedere al giorno e la luce minore per presiedere alla notte ; e fece pure le stelle .
NR1994	Genesi	1	17	Dio le mise nella distesa dei cieli per illuminare la terra ,
NR1994	Genesi	1	18	per presiedere al giorno e alla notte e separare la luce dalle tenebre . Dio vide che questo era buono .
NR1994	Genesi	1	19	Fu sera , poi fu mattina : quarto giorno .
NR1994	Genesi	1	20	( G ) Poi Dio disse : « Producano le acque in abbondanza esseri viventi , e volino degli uccelli sopra la terra per l&apos; ampia distesa del cielo » .
NR1994	Genesi	1	21	Dio creò i grandi animali acquatici e tutti gli esseri viventi che si muovono , e che le acque produssero in abbondanza secondo la loro specie , e ogni volatile secondo la sua specie . Dio vide che questo era buono .
NR1994	Genesi	1	22	Dio li benedisse dicendo : « Crescete , moltiplicatevi e riempite le acque dei mari , e si moltiplichino gli uccelli sulla terra » .
NR1994	Genesi	1	23	Fu sera , poi fu mattina : quinto giorno .
NR1994	Genesi	1	24	( H ) Poi Dio disse : « Produca la terra animali viventi secondo la loro specie : bestiame , rettili e animali selvatici della terra , secondo la loro specie » . E cosí fu .
NR1994	Genesi	1	25	Dio fece gli animali selvatici della terra secondo le loro specie , il bestiame secondo le sue specie e tutti i rettili della terra secondo le loro specie . Dio vide che questo era buono . Creazione dell&apos; uomo e della donna
NR1994	Genesi	1	26	( I ) Poi Dio disse : « Facciamo l&apos; uomo a nostra immagine , conforme alla nostra somiglianza , e abbiano dominio sui pesci del mare , sugli uccelli del cielo , sul bestiame , su tutta la terra e su tutti i rettili che strisciano sulla terra » .
NR1994	Genesi	1	27	Dio creò l&apos; uomo a sua immagine ; lo creò a immagine di Dio ; li creò maschio e femmina .
NR1994	Genesi	1	28	Dio li benedisse ; e Dio disse loro : « Siate fecondi e moltiplicatevi ; riempite la terra , rendetevela soggetta , dominate sui pesci del mare e sugli uccelli del cielo e sopra ogni animale che si muove sulla terra » .
NR1994	Genesi	1	29	Dio disse : « Ecco , io vi do ogni erba che fa seme sulla superficie di tutta la terra , e ogni albero fruttifero che fa seme ; questo vi servirà di nutrimento .
NR1994	Genesi	1	30	A ogni animale della terra , a ogni uccello del cielo e a tutto ciò che si muove sulla terra e ha in sé un soffio di vita , io do ogni erba verde per nutrimento » . E cosí fu .
NR1994	Genesi	1	31	Dio vide tutto quello che aveva fatto , ed ecco , era molto buono . Fu sera , poi fu mattina : sesto giorno . Footnotes - Genesi
NR1994	Genesi	2	2	:
NR1994	Genesi	2	1994	""
NR1994	Genesi	2	3	Dio benedisse il settimo giorno e lo santificò , perché in esso Dio si riposò da tutta l&apos; opera che aveva creata e fatta .
NR1994	Genesi	2	4	,
NR1994	Genesi	2	5	:
NR1994	Genesi	2	6	:
NR1994	Genesi	2	7	; +
NR1994	Genesi	2	8	Eden , ebr . &apos; edhen , lett. delizie . - Genesi
NR1994	Genesi	2	9	. - Genesi
NR1994	Genesi	2	10	:
NR1994	Genesi	2	11	Il nome del primo è Pison , ed è quello che circonda tutto il paese di Avila , dove c&apos; è l&apos; oro ;
NR1994	Genesi	2	12	Bdellio , resina aromatica prodotta da una pianta d&apos; Arabia . - Genesi
NR1994	Genesi	2	13	Cus , ebr . Kush , ovvero Etiopia . - Genesi
NR1994	Genesi	2	14	Chiddechel , ebr . Chiddeqel , ossia il Tigri . - Genesi
NR1994	Genesi	2	15	:
NR1994	Genesi	2	16	; + Ef
NR1994	Genesi	2	17	ma dell&apos; albero della conoscenza del bene e del male non ne mangiare ; perché nel giorno che tu ne mangerai , certamente morirai » .
NR1994	Genesi	2	18	( D ) Poi Dio il Signore disse : « Non è bene che l&apos; uomo sia solo ; io gli farò un aiuto che sia adatto a lui » .
NR1994	Genesi	2	19	:
NR1994	Genesi	2	20	L&apos; uomo diede dei nomi a tutto il bestiame , agli uccelli del cielo e ad ogni animale dei campi ; ma per l&apos; uomo non si trovò un aiuto che fosse adatto a lui .
NR1994	Genesi	2	21	Allora Dio il Signore fece cadere un profondo sonno sull&apos; uomo , che si addormentò ; prese una delle costole di lui , e richiuse la carne al posto d&apos; essa .
NR1994	Genesi	2	22	Dio il Signore , con la costola che aveva tolta all&apos; uomo , formò una donna e la condusse all&apos; uomo .
NR1994	Genesi	2	23	Uomo , ebr . &apos; ish . - Genesi
NR1994	Genesi	2	24	+ Mt
NR1994	Genesi	2	25	L&apos; uomo e sua moglie erano entrambi nudi e non ne avevano vergogna . Footnotes - Genesi
NR1994	Genesi	2	1	Co
NR1994	Genesi	2	45	. - Genesi
